stamp_ms_bin_start,max_amp
72897340,0.12000
72897345,0.12061
72897350,0.11069
72897355,0.09292
72897360,0.07208
72897365,0.05314
72897370,0.03311
72897375,0.01391
72897380,0.00358
72897840,0.12001
72897845,0.12062
72897850,0.11031
72897855,0.09289
72897860,0.07208
72897865,0.05315
72897870,0.03311
72897875,0.01390
72897880,0.00357
72898340,0.11954
72898345,0.12061
72898350,0.11032
72898355,0.09290
72898360,0.07208
72898365,0.05315
72898370,0.03310
72898375,0.01390
72898380,0.00357
72898840,0.12026
72898845,0.12061
72898850,0.11032
72898855,0.09291
72898860,0.07209
72898865,0.05315
72898870,0.03311
72898875,0.01390
72898880,0.00357
72899340,0.11998
72899345,0.12062
72899350,0.11032
72899355,0.09293
72899360,0.07566
72899365,0.05573
72899370,0.03311
72899375,0.01391
72899380,0.00357
