stamp_ms_bin_start,max_amp
72963290,0.10202
72963295,0.12061
72963300,0.11701
72963305,0.10208
72963310,0.08280
72963315,0.06155
72963320,0.04679
72963325,0.02647
72963330,0.00610
72963335,0.00095
72963540,0.10201
72963545,0.12061
72963550,0.11700
72963555,0.10205
72963560,0.08628
72963565,0.06470
72963570,0.04325
72963575,0.02234
72963580,0.00610
72963585,0.00095
72963790,0.10202
72963795,0.12060
72963800,0.11872
72963805,0.10498
72963810,0.08276
72963815,0.06155
72963820,0.04324
72963825,0.02234
72963830,0.00610
72963835,0.00095
72964295,0.10918
72964300,0.12059
72964305,0.11702
72964310,0.10207
72964315,0.08279
72964320,0.06109
72964325,0.04184
72964330,0.02017
72964335,0.00542
72964340,0.00095
72964545,0.10919
72964550,0.12062
72964555,0.11699
72964560,0.10203
72964565,0.08273
72964570,0.06110
72964575,0.04184
72964580,0.02017
72964585,0.00542
72964590,0.00095
72964795,0.10918
72964800,0.12061
72964805,0.11700
72964810,0.10205
72964815,0.08278
72964820,0.06140
72964825,0.04246
72964830,0.02017
72964835,0.00542
72964840,0.00095
72965300,0.11395
72965305,0.12061
72965310,0.11502
72965315,0.09914
72965320,0.07937
72965325,0.05902
72965330,0.04000
72965335,0.02017
72965340,0.00543
72965345,0.00095
72965550,0.11459
72965555,0.12060
72965560,0.11500
72965565,0.09914
72965570,0.07939
72965575,0.05905
72965580,0.04001
72965585,0.02018
72965590,0.00543
72965595,0.00095
72965800,0.11502
72965805,0.12061
72965810,0.11500
72965815,0.09911
72965820,0.07936
72965825,0.05903
72965830,0.04000
72965835,0.02018
72965840,0.00610
72965845,0.00094
72966305,0.11531
72966310,0.12062
72966315,0.11503
72966320,0.10203
72966325,0.08199
72966330,0.05775
72966335,0.03628
72966340,0.01630
72966345,0.00357
72966555,0.10917
72966560,0.12059
72966565,0.11702
72966570,0.09913
72966575,0.07902
72966580,0.05777
72966585,0.03627
72966590,0.01629
72966595,0.00357
72966805,0.11530
72966810,0.12059
72966815,0.11498
72966820,0.09912
72966825,0.07851
72966830,0.05702
72966835,0.03628
72966840,0.01630
72966845,0.00357
72967310,0.11880
72967315,0.12059
72967320,0.11274
72967325,0.09602
72967330,0.07566
72967335,0.05572
72967340,0.03627
72967345,0.01629
72967350,0.00357
72967560,0.11881
72967565,0.12061
72967570,0.11274
72967575,0.09604
72967580,0.07567
72967585,0.05572
72967590,0.03627
72967595,0.01630
72967600,0.00357
72967810,0.12033
72967815,0.12062
72967820,0.11033
72967825,0.09290
72967830,0.07207
72967835,0.05315
72967840,0.03311
72967845,0.01390
72967850,0.00357
72968315,0.11882
72968320,0.12061
72968325,0.11277
72968330,0.09605
72968335,0.07403
72968340,0.05430
72968345,0.03311
72968350,0.01390
72968355,0.00357
72968565,0.11882
72968570,0.12063
72968575,0.11273
72968580,0.09600
72968585,0.07310
72968590,0.05341
72968595,0.03311
72968600,0.01630
72968605,0.00357
72968815,0.11880
72968820,0.12060
72968825,0.11274
72968830,0.09604
72968835,0.07314
72968840,0.05606
72968845,0.03628
72968850,0.01390
72968855,0.00357
72969320,0.11882
72969325,0.12063
72969330,0.11034
72969335,0.09292
72969340,0.07209
72969345,0.05314
72969350,0.03311
72969355,0.01390
72969360,0.00353
72969570,0.12034
72969575,0.12059
72969580,0.11030
72969585,0.09289
72969590,0.07209
72969595,0.05316
72969600,0.03311
72969605,0.01390
72969610,0.00353
72969820,0.12033
72969825,0.12061
72969830,0.11032
72969835,0.09293
72969840,0.07209
72969845,0.05314
72969850,0.03312
72969855,0.01390
72969860,0.00353
72970320,0.10202
72970325,0.12062
72970330,0.11993
72970335,0.10765
72970340,0.08899
72970345,0.06471
72970350,0.04680
72970355,0.02647
72970360,0.00954
72970365,0.00158
72970570,0.04841
72970575,0.12032
72970580,0.12060
72970585,0.11032
72970590,0.09239
72970595,0.06750
72970600,0.04955
72970605,0.02925
72970610,0.01054
72970615,0.00159
72970820,0.04841
72970825,0.12030
72970830,0.12063
72970835,0.11035
72970840,0.09241
72970845,0.06750
72970850,0.04955
72970855,0.02925
72970860,0.01054
72970865,0.00158
72971325,0.09178
72971330,0.12060
72971335,0.11993
72971340,0.10765
72971345,0.08957
72971350,0.06748
72971355,0.04953
72971360,0.03310
72971365,0.01390
72971370,0.00158
72971575,0.09179
72971580,0.12061
72971585,0.11993
72971590,0.10767
72971595,0.08958
72971600,0.07209
72971605,0.05316
72971610,0.02924
72971615,0.01054
72971620,0.00158
72971825,0.09179
72971830,0.12062
72971835,0.11993
72971840,0.11033
72971845,0.09291
72971850,0.06748
72971855,0.04953
72971860,0.02925
72971865,0.01055
72971870,0.00159
72972330,0.10202
72972335,0.12061
72972340,0.11993
72972345,0.10764
72972350,0.08687
72972355,0.06471
72972360,0.04680
72972365,0.02648
72972370,0.00954
72972375,0.00158
72972580,0.10202
72972585,0.12062
72972590,0.11992
72972595,0.10767
72972600,0.08688
72972605,0.06471
72972610,0.04680
72972615,0.02647
72972620,0.00954
72972625,0.00158
72972830,0.10202
72972835,0.12060
72972840,0.11995
72972845,0.10767
72972850,0.08775
72972855,0.06470
72972860,0.04679
72972865,0.02647
72972870,0.00953
72972875,0.00158
