n,fit_ms,stamp_ms,peak,loud_ms,gap_from_previous_ms
0,72963283.207,72963293.045,0.1206,34.8,NaN
1,72963533.209,72963543.047,0.1206,34.8,250.003
2,72963783.189,72963793.029,0.1206,34.8,249.979
3,72964287.772,72964297.628,0.1206,34.8,504.583
4,72964537.751,72964547.606,0.1206,34.8,249.979
5,72964787.777,72964797.632,0.1206,34.8,250.026
6,72965292.339,72965302.194,0.1206,34.8,504.563
7,72965542.319,72965552.179,0.1206,34.8,249.980
8,72965792.322,72965802.154,0.1206,34.8,250.003
9,72966296.885,72966306.717,0.1206,34.8,504.563
10,72966546.887,72966556.751,0.1206,34.8,250.002
11,72966796.890,72966807.561,0.1206,34.8,250.003
12,72967301.453,72967311.310,0.1206,34.8,504.563
13,72967551.433,72967561.302,0.1206,34.8,249.980
14,72967800.618,72967810.460,0.1206,34.8,249.186
15,72968306.042,72968315.895,0.1206,34.8,505.424
16,72968556.021,72968565.871,0.1206,34.8,249.979
17,72968806.024,72968815.882,0.1206,34.8,250.002
18,72969310.586,72969321.257,0.1206,34.8,504.562
19,72969560.565,72969570.431,0.1206,34.8,249.979
20,72969810.545,72969820.395,0.1206,34.8,249.980
21,72970314.314,72970324.176,0.1206,34.8,503.769
22,72970565.133,72970574.982,0.1206,34.8,250.819
23,72970815.135,72970824.988,0.1206,34.8,250.002
24,72971319.719,72971329.574,0.1206,34.8,504.585
25,72971569.699,72971579.554,0.1206,34.8,249.979
26,72971819.723,72971829.593,0.1206,34.8,250.024
27,72972324.263,72972334.111,0.1206,34.8,504.540
28,72972574.265,72972584.126,0.1206,34.8,250.002
29,72972824.267,72972834.124,0.1206,34.8,250.002
