stamp_ms_bin_start,max_amp
73346090,0.12807
73346095,0.24064
73346100,0.24126
73346105,0.22073
73346110,0.18702
73346115,0.14424
73346120,0.09910
73346125,0.05854
73346130,0.02116
73346135,0.00325
73346595,0.24067
73346600,0.24123
73346605,0.22067
73346610,0.18044
73346615,0.13500
73346620,0.09911
73346625,0.05854
73346630,0.02117
73346635,0.00325
73347090,0.12807
73347095,0.24066
73347100,0.24122
73347105,0.22072
73347110,0.18228
73347115,0.13503
73347120,0.09913
73347125,0.05856
73347130,0.02118
73347135,0.00324
73347590,0.12807
73347595,0.24063
73347600,0.24130
73347605,0.22069
73347610,0.18229
73347615,0.13501
73347620,0.09912
73347625,0.05855
73347630,0.02119
73347635,0.00324
73348090,0.12807
73348095,0.24068
73348100,0.24125
73348105,0.22068
73348110,0.18370
73348115,0.13499
73348120,0.09911
73348125,0.05855
73348130,0.02118
73348135,0.00325
