stamp_ms_bin_start,max_amp
72460835,0.25065
72460840,0.41816
72460845,0.17512
72460850,0.06570
72460855,0.04560
72460860,0.02158
72460865,0.02199
72460870,0.01375
72460875,0.00973
72460880,0.00813
72460885,0.00546
72460890,0.00330
72463555,0.36340
72463560,0.37868
72463565,0.22766
72463570,0.04784
72463575,0.02030
72463580,0.01467
72463585,0.01114
72463590,0.00531
72463595,0.00365
72463600,0.00411
72463605,0.00209
72466225,0.17278
72466230,0.44148
72466235,0.29101
72466240,0.22334
72466245,0.18399
72466250,0.15181
72466255,0.12032
72466260,0.08928
72466265,0.06704
72466270,0.04612
72466275,0.03015
72466280,0.01797
72466285,0.00724
72466290,0.00253
72466295,0.00139
72466300,0.00073
72466305,0.00052
72466310,0.00062
72468895,0.19697
72468900,0.24124
72468905,0.23989
72468910,0.21529
72468915,0.18580
72468920,0.14314
72468925,0.09816
72468930,0.05383
72468935,0.01910
72468940,0.00321
72471560,0.44148
72471565,0.29097
72471570,0.22327
72471575,0.18397
72471580,0.15184
72471585,0.12032
72471590,0.08929
72471595,0.06703
72471600,0.04612
72471605,0.02972
72471610,0.01511
72471615,0.00739
72471620,0.00253
72471625,0.00147
72471630,0.00073
72471635,0.00052
72471640,0.00062
72474255,0.36340
72474260,0.37872
72474265,0.22775
72474270,0.04783
72474275,0.02030
72474280,0.01467
72474285,0.01114
72474290,0.00531
72474295,0.00365
72474300,0.00411
72474305,0.00218
72476935,0.25065
72476940,0.41816
72476945,0.17510
72476950,0.07803
72476955,0.04561
72476960,0.02554
72476965,0.02199
72476970,0.01374
72476975,0.00973
72476980,0.00813
72476985,0.00546
72476990,0.00330
72479615,0.08916
72479620,0.35329
72479625,0.35415
72479630,0.35399
72479635,0.35413
72479640,0.35394
72479645,0.35411
72479650,0.35398
72479655,0.35416
72479660,0.35401
