stamp_ms_bin_start,max_amp
73240355,0.18542
73240360,0.19070
73240365,0.17825
73240370,0.15179
73240375,0.11966
73240380,0.08813
73240385,0.05743
73240390,0.02597
73240395,0.00574
73240400,0.00064
73240855,0.18542
73240860,0.19070
73240865,0.17993
73240870,0.15179
73240875,0.11966
73240880,0.08813
73240885,0.05743
73240890,0.02597
73240895,0.00574
73240900,0.00064
73241355,0.18542
73241360,0.19070
73241365,0.17993
73241370,0.15179
73241375,0.11966
73241380,0.08813
73241385,0.05743
73241390,0.02597
73241395,0.00574
73241400,0.00064
