stamp_ms_bin_start,max_amp
73090870,0.11954
73090875,0.12062
73090880,0.11273
73090885,0.09600
73090890,0.07210
73090895,0.05315
73090900,0.03311
73090905,0.01390
73090910,0.00357
73091370,0.11957
73091375,0.12060
73091380,0.11071
73091385,0.09290
73091390,0.07208
73091395,0.05314
73091400,0.03311
73091405,0.01390
73091410,0.00357
73094025,0.11874
73094030,0.12060
73094035,0.11276
73094040,0.09603
73094045,0.07565
73094050,0.05572
73094055,0.03627
73094060,0.01629
73094065,0.00357
73094525,0.12033
73094530,0.12061
73094535,0.11031
73094540,0.09292
73094545,0.07209
73094550,0.05314
73094555,0.03310
73094560,0.01390
73094565,0.00357
73095025,0.11873
73095030,0.12061
73095035,0.11272
73095040,0.09601
73095045,0.07565
73095050,0.05573
73095055,0.03628
73095060,0.01630
73095065,0.00357
73095525,0.11880
73095530,0.12059
73095535,0.11274
73095540,0.09602
73095545,0.07567
73095550,0.05574
73095555,0.03627
73095560,0.01834
73095565,0.00542
73095570,0.00095
73096025,0.11874
73096030,0.12063
73096035,0.11274
73096040,0.09912
73096045,0.07939
73096050,0.05802
73096055,0.03626
73096060,0.01629
73096065,0.00357
