stamp_ms_bin_start,max_amp
72751305,0.10202
72751310,0.12059
72751315,0.11868
72751320,0.10493
72751325,0.08627
72751330,0.06470
72751335,0.04681
72751340,0.02576
72751345,0.00763
72751350,0.00095
72751805,0.10917
72751810,0.12060
72751815,0.11703
72751820,0.10204
72751825,0.08279
72751830,0.06156
72751835,0.04325
72751840,0.02232
72751845,0.00542
72751850,0.00095
72752305,0.10202
72752310,0.12060
72752315,0.11870
72752320,0.10498
72752325,0.08630
72752330,0.06471
72752335,0.04678
72752340,0.02647
72752345,0.00931
72752350,0.00105
72752805,0.10202
72752810,0.12061
72752815,0.11872
72752820,0.10497
72752825,0.08630
72752830,0.06472
72752835,0.04679
72752840,0.02919
72752845,0.00954
72752850,0.00095
72753305,0.10202
72753310,0.12060
72753315,0.11871
72753320,0.10765
72753325,0.08955
72753330,0.06471
72753335,0.04679
72753340,0.02641
72753345,0.00876
72753350,0.00104
