stamp_ms_bin_start,max_amp
72784645,0.12033
72784650,0.12062
72784655,0.11034
72784660,0.09291
72784665,0.07206
72784670,0.05314
72784675,0.03311
72784680,0.01390
72784685,0.00353
72785145,0.12032
72785150,0.12060
72785155,0.11033
72785160,0.09292
72785165,0.07208
72785170,0.05315
72785175,0.03311
72785180,0.01390
72785185,0.00353
72785640,0.09179
72785645,0.12060
72785650,0.11993
72785655,0.10766
72785660,0.08957
72785665,0.06748
72785670,0.04953
72785675,0.02925
72785680,0.01054
72785685,0.00158
72786390,0.02141
72786395,0.11704
72786400,0.32384
72786405,0.25557
72786410,0.25230
72786415,0.25010
72786420,0.24689
72786425,0.24412
72786430,0.23890
72786435,0.23750
72786440,0.23552
72786445,0.23350
72786450,0.23294
72786455,0.23006
72786460,0.22685
72786465,0.22228
72786470,0.21892
72786475,0.21629
72786480,0.21313
72786485,0.21139
72786490,0.20876
72786495,0.20631
72786500,0.20157
72786505,0.20011
72786510,0.27325
72786515,0.31755
72786520,0.25388
72786525,0.26750
72786530,0.21337
72786535,0.26168
72786540,0.16499
72786545,0.25058
72786550,0.15770
72786555,0.23921
72786560,0.14955
72786565,0.23188
72786570,0.14210
72786575,0.22483
72786580,0.14327
72786585,0.21878
72786590,0.14733
72786595,0.21059
72786600,0.15190
72786605,0.20165
72786610,0.15682
72786615,0.19319
72786620,0.15919
72786625,0.18117
72786630,0.17206
72786635,0.17020
72786640,0.16442
72786645,0.16058
72786650,0.16170
72786655,0.15304
72786660,0.16105
72786665,0.14359
72786670,0.16011
72786675,0.13275
72786680,0.15642
72786685,0.12414
72786690,0.15263
72786695,0.11654
72786700,0.15044
72786705,0.10711
72786710,0.14756
72786715,0.10187
72786720,0.14656
72786725,0.10119
72786730,0.14424
72786735,0.10051
72786740,0.13959
72786745,0.09881
72786750,0.13561
72786755,0.10024
72786760,0.13086
72786765,0.10436
72786770,0.12663
72786775,0.10271
72786780,0.12125
72786785,0.11244
72786790,0.11626
72786795,0.11623
72786800,0.07892
72786805,0.11032
72786810,0.08329
72786815,0.10499
72786820,0.07583
72786825,0.09919
72786830,0.07358
72786835,0.09358
72786840,0.06740
72786845,0.09045
72786850,0.05973
72786855,0.08763
72786860,0.06281
72786865,0.08518
72786870,0.06424
72786875,0.08115
72786880,0.06402
72786885,0.07865
72786890,0.06400
72786895,0.07589
72786900,0.06341
72786905,0.07307
72786910,0.06360
72786915,0.06479
72786920,0.06999
72786925,0.06713
72786930,0.06219
72786935,0.06512
72786940,0.06500
72786945,0.05954
72786950,0.06273
72786955,0.04871
72786960,0.05939
72786965,0.04455
72786970,0.05618
72786975,0.04062
72786980,0.05299
72786985,0.03989
72786990,0.05035
72786995,0.04066
72787000,0.04859
72787005,0.04083
72787010,0.04696
72787015,0.04002
72787020,0.04474
72787025,0.03982
72787030,0.04304
72787035,0.03927
72787040,0.03866
72787045,0.04075
72787050,0.03879
72787055,0.03929
72787060,0.03696
72787065,0.03880
72787070,0.03415
72787075,0.03803
72787080,0.02891
72787085,0.03683
72787090,0.02771
72787095,0.03564
72787100,0.02648
72787105,0.03434
72787110,0.02498
72787115,0.03327
72787120,0.02460
72787125,0.03277
72787130,0.02540
72787135,0.03160
72787140,0.02527
72787145,0.03028
72787150,0.02463
72787155,0.02872
72787160,0.02383
72787165,0.02774
72787170,0.02292
72787175,0.02656
72787180,0.02230
72787185,0.02525
72787190,0.02155
72787195,0.02405
72787200,0.02061
72787205,0.02258
72787210,0.02101
72787215,0.02131
72787220,0.02127
72787225,0.01837
72787230,0.01985
72787235,0.01379
72787240,0.01835
72787245,0.01500
72787250,0.01708
72787255,0.01493
72787260,0.01559
72787265,0.01481
72787270,0.01432
72787275,0.01447
72787280,0.01350
72787285,0.01398
72787290,0.01276
72787295,0.01368
72787300,0.01211
72787305,0.01334
72787310,0.01117
72787315,0.01285
72787320,0.01017
72787325,0.01230
72787330,0.00967
72787335,0.01160
72787340,0.00886
72787345,0.01091
72787350,0.00813
72787355,0.01023
72787360,0.00722
72787365,0.00977
72787370,0.00605
72787375,0.00916
72787380,0.00641
72787385,0.00876
72787390,0.00693
72787395,0.00833
72787400,0.00781
72787405,0.00791
72787410,0.00759
72787415,0.00754
72787420,0.00739
72787425,0.00706
72787430,0.00711
72787435,0.00657
72787440,0.00681
72787445,0.00620
72787450,0.00650
72787455,0.00583
72787460,0.00611
72787465,0.00541
72787470,0.00574
72787475,0.00492
72787480,0.00534
72787485,0.00443
72787490,0.00492
72787495,0.00422
72787500,0.00464
72787505,0.00394
72787510,0.00425
72787515,0.00391
72787520,0.00348
72787525,0.00382
72787530,0.00304
72787535,0.00345
72787540,0.00266
72787545,0.00305
72787550,0.00219
72787555,0.00266
72787560,0.00183
72787565,0.00223
72787570,0.00153
72787575,0.00186
72787580,0.00122
72787585,0.00147
72787590,0.00092
72787595,0.00107
72787600,0.00061
72787605,0.00077
