stamp_ms_bin_start,max_amp
72852530,0.11881
72852535,0.12062
72852540,0.11274
72852545,0.09604
72852550,0.07468
72852555,0.05492
72852560,0.03719
72852565,0.01629
72852570,0.00357
72853045,0.10919
72853050,0.12062
72853055,0.11701
72853060,0.10206
72853065,0.08201
72853070,0.05979
72853075,0.03999
72853080,0.02017
72853085,0.00542
72853090,0.00095
72853545,0.10918
72853550,0.12061
72853555,0.11702
72853560,0.10207
72853565,0.08271
72853570,0.06109
72853575,0.04113
72853580,0.02018
72853585,0.00543
72853590,0.00095
72854045,0.11529
72854050,0.12062
72854055,0.11502
72854060,0.09913
72854065,0.07900
72854070,0.05775
72854075,0.03717
72854080,0.01630
72854085,0.00357
72854545,0.10918
72854550,0.12062
72854555,0.11702
72854560,0.10206
72854565,0.08270
72854570,0.06107
72854575,0.04114
72854580,0.02018
72854585,0.00543
72854590,0.00095
