press,beep index,target ms,onset ms,lateness ms
1,1,76333681.328717,76333706.852459,25.523742
1,2,76334181.328717,76334206.843836,25.515119
1,3,76334681.328717,76334706.822189,25.493472
1,4,76335181.328717,76335206.802817,25.474100
1,5,76335681.328717,76335707.637812,26.309095
2,1,76337033.200796,76337058.685797,25.485001
2,2,76337533.200796,76337557.885160,24.684363
2,3,76338033.200796,76338058.743605,25.542809
2,4,76338533.200796,76338558.724158,25.523361
2,5,76339033.200796,76339058.676087,25.475290
3,1,76340427.459494,76340452.954509,25.495015
3,2,76340927.459494,76340952.997313,25.537819
3,3,76341427.459494,76341452.925391,25.465897
3,4,76341927.459494,76341953.788761,26.329267
3,5,76342427.459494,76342452.975498,25.516004
4,1,76343820.588305,76343846.097372,25.509067
4,2,76344320.588305,76344346.889291,26.300986
4,3,76344820.588305,76344846.084253,25.495948
4,4,76345320.588305,76345346.083633,25.495328
4,5,76345820.588305,76345846.077261,25.488956
5,1,76347209.699562,76347236.019241,26.319680
5,2,76347709.699562,76347735.251830,25.552268
5,3,76348209.699562,76348234.389490,24.689928
5,4,76348709.699562,76348735.210960,25.511398
5,5,76349209.699562,76349235.212064,25.512502
6,1,76350594.959462,76350620.441646,25.482184
6,2,76351094.959462,76351119.695608,24.736146
6,3,76351594.959462,76351620.504054,25.544592
6,4,76352094.959462,76352120.459083,25.499621
6,5,76352594.959462,76352620.497311,25.537849
7,1,76353964.186144,76353989.693229,25.507085
7,2,76354464.186144,76354489.721132,25.534988
7,3,76354964.186144,76354989.679261,25.493117
7,4,76355464.186144,76355489.693489,25.507346
7,5,76355964.186144,76355990.486433,26.300289
8,1,76357321.691459,76357347.216888,25.525429
8,2,76357821.691459,76357847.222616,25.531157
8,3,76358321.691459,76358347.216145,25.524686
8,4,76358821.691459,76358847.218873,25.527414
8,5,76359321.691459,76359347.961442,26.269983
9,1,76360689.715155,76360714.398378,24.683223
9,2,76361189.715155,76361215.180948,25.465793
9,3,76361689.715155,76361715.206676,25.491521
9,4,76362189.715155,76362179.180319,-10.534836
9,5,76362689.715155,76362716.024799,26.309645
10,1,76364045.246492,76364070.768388,25.521896
10,2,76364545.246492,76364570.749941,25.503448
10,3,76365045.246492,76365070.720669,25.474177
10,4,76365545.246492,76365570.747373,25.500881
10,5,76366045.246492,76366071.571592,26.325100
