file,press,beep,target_ms,selftest_late_ms,stamp_late_ms,fit_late_ms,fit_rms_ms,flags
beep-selftest-deviceclock-20260923-093114-358.csv,1,1,76333681.329,25.524,25.433,15.726,0.221,
beep-selftest-deviceclock-20260923-093114-358.csv,1,2,76334181.329,25.515,25.430,15.687,0.222,
beep-selftest-deviceclock-20260923-093114-358.csv,1,3,76334681.329,25.493,25.414,15.671,0.222,
beep-selftest-deviceclock-20260923-093114-358.csv,1,4,76335181.329,25.474,25.400,15.683,0.221,
beep-selftest-deviceclock-20260923-093114-358.csv,1,5,76335681.329,26.309,26.241,15.714,0.220,
beep-selftest-deviceclock-20260923-093114-358.csv,2,1,76337033.201,25.485,25.432,15.716,0.219,
beep-selftest-deviceclock-20260923-093114-358.csv,2,2,76337533.201,24.684,24.637,14.948,0.220,
beep-selftest-deviceclock-20260923-093114-358.csv,2,3,76338033.201,25.543,25.501,15.768,0.221,
beep-selftest-deviceclock-20260923-093114-358.csv,2,4,76338533.201,25.523,25.488,15.749,0.222,
beep-selftest-deviceclock-20260923-093114-358.csv,2,5,76339033.201,25.475,25.445,15.752,0.221,
beep-selftest-deviceclock-20260923-093114-358.csv,3,1,76340427.459,25.495,25.481,15.769,0.221,
beep-selftest-deviceclock-20260923-093114-358.csv,3,2,76340927.459,25.538,25.529,15.799,0.221,
beep-selftest-deviceclock-20260923-093114-358.csv,3,3,76341427.459,25.466,25.463,15.755,0.221,
beep-selftest-deviceclock-20260923-093114-358.csv,3,4,76341927.459,26.329,26.332,15.807,0.221,
beep-selftest-deviceclock-20260923-093114-358.csv,3,5,76342427.459,25.516,25.524,15.808,0.222,
beep-selftest-deviceclock-20260923-093114-358.csv,4,1,76343820.588,25.509,25.533,15.800,0.220,
beep-selftest-deviceclock-20260923-093114-358.csv,4,2,76344320.588,26.301,26.331,15.803,0.219,
beep-selftest-deviceclock-20260923-093114-358.csv,4,3,76344820.588,25.496,25.532,15.785,0.219,
beep-selftest-deviceclock-20260923-093114-358.csv,4,4,76345320.588,25.495,25.537,15.836,0.218,
beep-selftest-deviceclock-20260923-093114-358.csv,4,5,76345820.588,25.489,25.536,15.839,0.218,
beep-selftest-deviceclock-20260923-093114-358.csv,5,1,76347209.700,26.320,26.382,15.857,0.220,
beep-selftest-deviceclock-20260923-093114-358.csv,5,2,76347709.700,25.552,25.621,15.909,0.220,
beep-selftest-deviceclock-20260923-093114-358.csv,5,3,76348209.700,24.690,24.764,15.051,0.220,
beep-selftest-deviceclock-20260923-093114-358.csv,5,4,76348709.700,25.511,25.591,15.848,0.223,
beep-selftest-deviceclock-20260923-093114-358.csv,5,5,76349209.700,25.513,25.598,15.875,0.223,
beep-selftest-deviceclock-20260923-093114-358.csv,6,1,76350594.959,25.482,25.583,15.866,0.223,
beep-selftest-deviceclock-20260923-093114-358.csv,6,2,76351094.959,24.736,24.843,15.100,0.223,
beep-selftest-deviceclock-20260923-093114-358.csv,6,3,76351594.959,25.545,25.657,15.923,0.224,
beep-selftest-deviceclock-20260923-093114-358.csv,6,4,76352094.959,25.500,25.618,15.925,0.225,
beep-selftest-deviceclock-20260923-093114-358.csv,6,5,76352594.959,25.538,25.662,15.930,0.224,
beep-selftest-deviceclock-20260923-093114-358.csv,7,1,76353964.186,25.507,25.647,15.926,0.224,
beep-selftest-deviceclock-20260923-093114-358.csv,7,2,76354464.186,25.535,25.680,15.960,0.223,
beep-selftest-deviceclock-20260923-093114-358.csv,7,3,76354964.186,25.493,25.644,15.967,0.223,
beep-selftest-deviceclock-20260923-093114-358.csv,7,4,76355464.186,25.507,25.664,15.977,0.223,
beep-selftest-deviceclock-20260923-093114-358.csv,7,5,76355964.186,26.300,26.462,15.961,0.222,
beep-selftest-deviceclock-20260923-093114-358.csv,8,1,76357321.691,25.525,25.703,16.009,0.221,
beep-selftest-deviceclock-20260923-093114-358.csv,8,2,76357821.691,25.531,25.714,16.016,0.220,
beep-selftest-deviceclock-20260923-093114-358.csv,8,3,76358321.691,25.525,25.713,16.024,0.221,
beep-selftest-deviceclock-20260923-093114-358.csv,8,4,76358821.691,25.527,25.722,16.034,0.220,
beep-selftest-deviceclock-20260923-093114-358.csv,8,5,76359321.691,26.270,26.470,15.993,0.221,
beep-selftest-deviceclock-20260923-093114-358.csv,9,1,76360689.715,24.683,24.899,15.239,0.222,
beep-selftest-deviceclock-20260923-093114-358.csv,9,2,76361189.715,25.466,25.687,16.037,0.221,
beep-selftest-deviceclock-20260923-093114-358.csv,9,3,76361689.715,25.492,25.718,16.039,0.223,
beep-selftest-deviceclock-20260923-093114-358.csv,9,4,76362189.715,-10.535,-10.348,-19.988,0.223,
beep-selftest-deviceclock-20260923-093114-358.csv,9,5,76362689.715,26.310,26.548,16.072,0.223,
beep-selftest-deviceclock-20260923-093114-358.csv,10,1,76364045.246,25.522,25.776,16.103,0.223,
beep-selftest-deviceclock-20260923-093114-358.csv,10,2,76364545.246,25.503,25.763,16.087,0.223,
beep-selftest-deviceclock-20260923-093114-358.csv,10,3,76365045.246,25.474,25.739,16.092,0.223,
beep-selftest-deviceclock-20260923-093114-358.csv,10,4,76365545.246,25.501,25.772,16.119,0.221,
beep-selftest-deviceclock-20260923-093114-358.csv,10,5,76366045.246,26.325,26.601,16.123,0.220,
