stamp_ms_bin_start,max_amp
76333705,0.23061
76333710,0.24120
76333715,0.23003
76333720,0.19824
76333725,0.15878
76333730,0.11808
76333735,0.07998
76333740,0.03797
76333745,0.00771
76333750,0.00079
76334205,0.23061
76334210,0.24120
76334215,0.23006
76334220,0.19827
76334225,0.15879
76334230,0.11808
76334235,0.08002
76334240,0.03402
76334245,0.00716
76334250,0.00079
76334705,0.23060
76334710,0.24122
76334715,0.23007
76334720,0.19831
76334725,0.15883
76334730,0.11809
76334735,0.07964
76334740,0.03565
76334745,0.00716
76334750,0.00193
76335205,0.23061
76335210,0.24121
76335215,0.23005
76335220,0.19821
76335225,0.15877
76335230,0.12309
76335235,0.08495
76335240,0.03566
76335245,0.00717
76335250,0.00079
76335705,0.21836
76335710,0.24121
76335715,0.23401
76335720,0.19827
76335725,0.15878
76335730,0.11808
76335735,0.07966
76335740,0.03671
76335745,0.00717
76335750,0.00079
76337055,0.20406
76337060,0.24124
76337065,0.23749
76337070,0.20997
76337075,0.17259
76337080,0.12944
76337085,0.09358
76337090,0.05293
76337095,0.01908
76337100,0.00299
76337555,0.21473
76337560,0.24120
76337565,0.23401
76337570,0.20406
76337575,0.16557
76337580,0.12309
76337585,0.08652
76337590,0.04473
76337595,0.01223
76337600,0.00193
76338055,0.20407
76338060,0.24119
76338065,0.23744
76338070,0.20992
76338075,0.17255
76338080,0.12942
76338085,0.09358
76338090,0.05294
76338095,0.01909
76338100,0.00315
76338555,0.20408
76338560,0.24129
76338565,0.23751
76338570,0.20991
76338575,0.17253
76338580,0.12941
76338585,0.09357
76338590,0.05851
76338595,0.02111
76338600,0.00315
76339055,0.20407
76339060,0.24120
76339065,0.23745
76339070,0.21534
76339075,0.17916
76339080,0.12944
76339085,0.09357
76339090,0.05294
76339095,0.01910
76339100,0.00315
76340450,0.20407
76340455,0.24120
76340460,0.23402
76340465,0.20416
76340470,0.16563
76340475,0.12310
76340480,0.08651
76340485,0.04470
76340490,0.01222
76340495,0.00193
76340950,0.20407
76340955,0.24119
76340960,0.23598
76340965,0.20407
76340970,0.16557
76340975,0.12307
76340980,0.08652
76340985,0.04471
76340990,0.01909
76340995,0.00315
76341450,0.20710
76341455,0.24126
76341460,0.23399
76341465,0.20410
76341470,0.17263
76341475,0.12942
76341480,0.08651
76341485,0.04471
76341490,0.01222
76341495,0.00193
76341950,0.20407
76341955,0.24120
76341960,0.23682
76341965,0.20411
76341970,0.16559
76341975,0.12310
76341980,0.08650
76341985,0.04471
76341990,0.01223
76341995,0.00193
76342450,0.20407
76342455,0.24121
76342460,0.23600
76342465,0.20408
76342470,0.16560
76342475,0.12310
76342480,0.08649
76342485,0.04469
76342490,0.01222
76342495,0.00193
76343845,0.23765
76343850,0.24124
76343855,0.22547
76343860,0.19205
76343865,0.15135
76343870,0.11810
76343875,0.08003
76343880,0.03260
76343885,0.00717
76343890,0.00079
76344345,0.23061
76344350,0.24124
76344355,0.23008
76344360,0.19205
76344365,0.15139
76344370,0.11153
76344375,0.07257
76344380,0.03260
76344385,0.00716
76344390,0.00079
76344845,0.23759
76344850,0.24118
76344855,0.22552
76344860,0.19204
76344865,0.15134
76344870,0.11152
76344875,0.07257
76344880,0.03262
76344885,0.00716
76344890,0.00079
76345345,0.23762
76345350,0.24121
76345355,0.22552
76345360,0.19209
76345365,0.15137
76345370,0.11154
76345375,0.07260
76345380,0.03262
76345385,0.00717
76345390,0.00079
76345845,0.23761
76345850,0.24121
76345855,0.22550
76345860,0.19203
76345865,0.15134
76345870,0.11151
76345875,0.07257
76345880,0.03262
76345885,0.00717
76345890,0.00079
76347235,0.24069
76347240,0.24119
76347245,0.22066
76347250,0.18577
76347255,0.14419
76347260,0.10630
76347265,0.06620
76347270,0.02783
76347275,0.00709
76347735,0.24066
76347740,0.24126
76347745,0.22066
76347750,0.18578
76347755,0.14414
76347760,0.10631
76347765,0.06623
76347770,0.02785
76347775,0.00709
76347780,0.00058
76348230,0.18361
76348235,0.24123
76348240,0.23991
76348245,0.21535
76348250,0.17919
76348255,0.13499
76348260,0.09910
76348265,0.05850
76348270,0.02111
76348275,0.00321
76348735,0.24065
76348740,0.24123
76348745,0.22070
76348750,0.18581
76348755,0.14420
76348760,0.10629
76348765,0.06622
76348770,0.02784
76348775,0.00587
76349235,0.24067
76349240,0.24121
76349245,0.22066
76349250,0.18580
76349255,0.14416
76349260,0.10628
76349265,0.06621
76349270,0.03261
76349275,0.00716
76350620,0.23761
76350625,0.24121
76350630,0.22295
76350635,0.18579
76350640,0.14418
76350645,0.10630
76350650,0.06622
76350655,0.02785
76350660,0.00717
76350665,0.00064
76351115,0.12642
76351120,0.24065
76351125,0.24121
76351130,0.21993
76351135,0.17912
76351140,0.13498
76351145,0.09911
76351150,0.05851
76351155,0.02112
76351160,0.00321
76351620,0.23760
76351625,0.24120
76351630,0.22498
76351635,0.18576
76351640,0.14420
76351645,0.10630
76351650,0.06622
76351655,0.02784
76351660,0.00717
76351665,0.00066
76352120,0.23762
76352125,0.24120
76352130,0.22541
76352135,0.18576
76352140,0.14417
76352145,0.10629
76352150,0.07256
