n,fit_ms,stamp_ms,peak,loud_ms,gap_from_previous_ms
0,76333697.088,76333706.798,0.2412,34.9,NaN
1,76334197.050,76334206.795,0.2412,34.9,499.962
2,76334697.034,76334706.779,0.2412,34.9,499.984
3,76335197.045,76335206.765,0.2412,34.9,500.011
4,76335697.077,76335707.606,0.2412,34.9,500.032
5,76337048.951,76337058.669,0.2412,34.9,1351.874
6,76337548.183,76337557.874,0.2412,34.9,499.232
7,76338049.003,76338058.738,0.2412,34.9,500.820
8,76338548.985,76338558.724,0.2413,34.9,499.982
9,76339048.987,76339058.682,0.2412,34.9,500.003
10,76340443.264,76340452.976,0.2412,34.9,1394.277
11,76340943.295,76340953.025,0.2412,34.9,500.031
12,76341443.251,76341452.959,0.2413,34.9,499.956
13,76341943.302,76341953.828,0.2412,34.9,500.051
14,76342443.303,76342453.020,0.2412,34.9,500.001
15,76343836.423,76343846.158,0.2412,34.9,1393.120
16,76344336.427,76344346.955,0.2412,34.9,500.003
17,76344836.410,76344846.156,0.2412,34.9,499.983
18,76345336.460,76345346.161,0.2412,34.9,500.050
19,76345836.464,76345846.160,0.2412,34.9,500.004
20,76347225.593,76347236.118,0.2412,34.9,1389.129
21,76347725.644,76347735.356,0.2413,34.9,500.052
22,76348224.788,76348234.500,0.2412,34.9,499.143
23,76348725.585,76348735.327,0.2412,34.9,500.798
24,76349225.611,76349235.333,0.2412,34.9,500.026
25,76350610.862,76350620.579,0.2412,34.9,1385.251
26,76351110.096,76351119.838,0.2412,34.9,499.234
27,76351610.919,76351620.653,0.2412,34.9,500.823
28,76352110.921,76352120.613,0.2412,34.9,500.002
29,76352610.927,76352620.657,0.2412,34.9,500.005
30,76353980.149,76353989.869,0.2412,34.9,1369.222
31,76354480.183,76354489.902,0.2412,34.9,500.034
32,76354980.190,76354989.866,0.2412,34.9,500.008
33,76355480.200,76355489.886,0.2412,34.9,500.010
34,76355980.184,76355990.684,0.2412,192.7,499.984
35,76356124.881,76356134.569,0.0550,57.3,144.697
36,76356354.862,76356364.571,0.1844,142.2,229.982
37,76356489.740,76356499.450,0.1838,107.3,134.878
38,76356589.742,76356599.426,0.1838,7.3,100.002
39,76357337.738,76357347.430,0.2412,34.9,747.995
40,76357837.745,76357847.442,0.2412,34.9,500.008
41,76358337.753,76358347.441,0.2412,34.9,500.008
42,76358837.762,76358847.449,0.2412,34.9,500.009
43,76359337.721,76359348.198,0.2412,34.9,499.959
44,76360704.989,76360714.650,0.2413,34.9,1367.268
45,76361205.788,76361215.438,0.2412,34.9,500.798
46,76361705.790,76361715.470,0.2412,147.2,500.003
47,76361804.954,76361814.599,0.0550,57.3,99.163
48,76362034.934,76362044.622,0.2412,200.0,229.980
49,76362169.808,76362179.449,0.2412,106.9,134.875
50,76362205.840,76362215.508,0.2412,70.8,36.032
51,76362705.823,76362716.299,0.2412,34.9,499.982
52,76364061.384,76364071.058,0.2413,34.9,1355.562
53,76364561.367,76364571.045,0.2412,34.9,499.983
54,76365061.373,76365071.022,0.2412,34.9,500.006
55,76365561.400,76365571.054,0.2412,34.9,500.026
56,76366061.403,76366071.884,0.2412,34.9,500.003
