stamp_ms_bin_start,max_amp
76988125,0.12257
76988130,0.24066
76988135,0.24116
76988140,0.22067
76988145,0.18148
76988150,0.13494
76988155,0.09917
76988160,0.05855
76988165,0.02104
76988170,0.00317
76988625,0.12257
76988630,0.24062
76988635,0.24119
76988640,0.22073
76988645,0.18311
76988650,0.13496
76988655,0.09915
76988660,0.05854
76988665,0.02105
76988670,0.00317
76989125,0.12257
76989130,0.24065
76989135,0.24113
76989140,0.22066
76989145,0.18308
76989150,0.13495
76989155,0.09913
76989160,0.05852
76989165,0.02104
76989170,0.00723
76989175,0.00072
76989625,0.12257
76989630,0.24060
76989635,0.24119
76989640,0.22073
76989645,0.18313
76989650,0.14421
76989655,0.10625
76989660,0.05856
76989665,0.02104
76989670,0.00317
76990130,0.23766
76990135,0.24117
76990140,0.22063
76990145,0.18307
76990150,0.13494
76990155,0.09915
76990160,0.05853
76990165,0.02104
76990170,0.00317
