stamp_ms_bin_start,max_amp
76956335,0.21837
76956340,0.24122
76956345,0.23399
76956350,0.20394
76956355,0.15898
76956360,0.11813
76956365,0.07999
76956370,0.04034
76956375,0.01088
76956380,0.00195
76956835,0.21837
76956840,0.24124
76956845,0.23402
76956850,0.20395
76956855,0.15898
76956860,0.11816
76956865,0.07997
76956870,0.04032
76956875,0.01086
76956880,0.00195
76957335,0.21838
76957340,0.24125
76957345,0.23402
76957350,0.20390
76957355,0.15893
76957360,0.11811
76957365,0.07994
76957370,0.04471
76957375,0.01222
76957380,0.00195
76957835,0.21839
76957840,0.24127
76957845,0.23398
76957850,0.20997
76957855,0.16858
76957860,0.11814
76957865,0.07998
76957870,0.04033
76957875,0.01087
76957880,0.00196
76958335,0.21838
76958340,0.24123
76958345,0.23398
76958350,0.20408
76958355,0.16105
76958360,0.11815
76958365,0.07997
76958370,0.04033
76958375,0.01087
76958380,0.00195
