stamp_ms_bin_start,max_amp
76922000,0.22214
76922005,0.24117
76922010,0.23401
76922015,0.20216
76922020,0.15888
76922025,0.11807
76922030,0.08001
76922035,0.04036
76922040,0.01095
76922045,0.00197
76922500,0.22214
76922505,0.24117
76922510,0.23400
76922515,0.20216
76922520,0.15884
76922525,0.11804
76922530,0.08000
76922535,0.04035
76922540,0.01095
76922545,0.00197
76923000,0.22214
76923005,0.24119
76923010,0.23399
76923015,0.20313
76923020,0.15887
76923025,0.11806
76923030,0.08003
76923035,0.04035
76923040,0.01095
76923045,0.00197
76923500,0.22214
76923505,0.24114
76923510,0.23406
76923515,0.20319
76923520,0.15883
76923525,0.11804
76923530,0.08648
76923535,0.04479
76923540,0.01095
76923545,0.00197
76924000,0.22214
76924005,0.24115
76924010,0.23746
76924015,0.20918
76924020,0.15883
76924025,0.11804
76924030,0.08000
76924035,0.04035
76924040,0.01095
76924045,0.00197
