press,beep index,target ms,onset ms,lateness ms
1,1,76774187.901999,76774246.735893,58.833893
1,2,76774687.901999,76774746.727521,58.825522
1,3,76775187.901999,76775246.750049,58.848050
1,4,76775687.901999,76775746.718278,58.816279
1,5,76776187.901999,76776246.742306,58.840307
2,1,76777582.411694,76777646.742026,64.330331
2,2,76778082.411694,76778146.750554,64.338859
2,3,76778582.411694,76778646.716983,64.305288
2,4,76779082.411694,76779146.704811,64.293117
2,5,76779582.411694,76779646.711239,64.299545
3,1,76780980.507949,76781036.702072,56.194123
3,2,76781480.507949,76781536.733700,56.225751
3,3,76781980.507949,76782037.519920,57.011971
3,4,76782480.507949,76782536.742757,56.234808
3,5,76782980.507949,76783036.700486,56.192537
4,1,76784331.476438,76784396.698559,65.222121
4,2,76784831.476438,76784896.684788,65.208350
4,3,76785331.476438,76785397.511007,66.034569
4,4,76785831.476438,76785896.703944,65.227506
4,5,76786331.476438,76786396.694073,65.217635
5,1,76787708.042037,76787766.693333,58.651296
5,2,76788208.042037,76788266.720961,58.678924
5,3,76788708.042037,76788766.703489,58.661452
5,4,76789208.042037,76789266.718617,58.676580
5,5,76789708.042037,76789766.684546,58.642509
6,1,76791079.184097,76791136.679906,57.495809
6,2,76791579.184097,76791637.496125,58.312028
6,3,76792079.184097,76792136.705362,57.521265
6,4,76792579.184097,76792636.675191,57.491094
6,5,76793079.184097,76793136.684819,57.500722
7,1,76794433.016454,76794496.707392,63.690938
7,2,76794933.016454,76794997.487812,64.471358
7,3,76795433.016454,76795496.705049,63.688595
7,4,76795933.016454,76795996.702478,63.686024
7,5,76796433.016454,76796496.707406,63.690952
8,1,76797836.194551,76797896.698725,60.504175
8,2,76798336.194551,76798396.662054,60.467503
8,3,76798836.194551,76798896.696882,60.502331
8,4,76799336.194551,76799396.659411,60.464860
8,5,76799836.194551,76799896.680739,60.486188
9,1,76801211.369266,76801276.660786,65.291520
9,2,76801711.369266,76801776.677514,65.308248
9,3,76802211.369266,76802276.674142,65.304877
9,4,76802711.369266,76802776.691571,65.322305
9,5,76803211.369266,76803277.468190,66.098925
10,1,76804595.456379,76804656.668946,61.212566
10,2,76805095.456379,76805156.636474,61.180095
10,3,76805595.456379,76805656.646803,61.190424
10,4,76806095.456379,76806157.461622,62.005243
10,5,76806595.456379,76806656.673159,61.216780
11,1,76807963.170778,76808026.632419,63.461641
11,2,76808463.170778,76808526.673447,63.502669
11,3,76808963.170778,76809026.677575,63.506797
11,4,76809463.170778,76809526.677604,63.506826
11,5,76809963.170778,76810026.657132,63.486354
12,1,76811362.992513,76811426.671952,63.679439
12,2,76811862.992513,76811926.637581,63.645067
12,3,76812362.992513,76812426.651109,63.658596
12,4,76812862.992513,76812926.631937,63.639424
12,5,76813362.992513,76813426.617066,63.624553
13,1,76814758.007803,76814816.627799,58.619996
13,2,76815258.007803,76815316.642327,58.634524
13,3,76815758.007803,76815816.652555,58.644752
13,4,76816258.007803,76816316.653884,58.646081
13,5,76816758.007803,76816816.641512,58.633709
14,1,76818116.585006,76818176.605586,60.020580
14,2,76818616.585006,76818676.636314,60.051308
14,3,76819116.585006,76819176.603342,60.018337
14,4,76819616.585006,76819676.611671,60.026665
14,5,76820116.585006,76820176.612299,60.027293
15,1,76821480.256151,76821536.628772,56.372621
15,2,76821980.256151,76822036.614801,56.358650
15,3,76822480.256151,76822536.639729,56.383578
15,4,76822980.256151,76823036.607257,56.351107
15,5,76823480.256151,76823536.606786,56.350635
16,1,76824854.508576,76824916.600432,62.091857
16,2,76825354.508576,76825416.608361,62.099785
16,3,76825854.508576,76825916.612789,62.104213
16,4,76826354.508576,76826416.626417,62.117841
16,5,76826854.508576,76826917.412937,62.904361
17,1,76828203.980182,76828266.586033,62.605851
17,2,76828703.980182,76828766.613561,62.633379
17,3,76829203.980182,76829266.587889,62.607707
17,4,76829703.980182,76829766.614917,62.634735
17,5,76830203.980182,76830266.598046,62.617864
18,1,76831611.924525,76831676.589552,64.665027
18,2,76832111.924525,76832176.576981,64.652456
18,3,76832611.924525,76832677.399600,65.475075
18,4,76833111.924525,76833176.612037,64.687512
18,5,76833611.924525,76833676.613265,64.688741
19,1,76835011.758860,76835077.394476,65.635616
19,2,76835511.758860,76835576.592913,64.834054
19,3,76836011.758860,76836076.578942,64.820082
19,4,76836511.758860,76836576.596170,64.837311
19,5,76837011.758860,76837076.605398,64.846539
20,1,76838358.435097,76838416.559099,58.124002
20,2,76838858.435097,76838917.385118,58.950021
20,3,76839358.435097,76839416.556556,58.121458
20,4,76839858.435097,76839916.557884,58.122787
20,5,76840358.435097,76840416.566712,58.131615
21,1,76841752.618096,76841816.597132,63.979035
21,2,76842252.618096,76842316.593360,63.975264
21,3,76842752.618096,76842816.589088,63.970992
21,4,76843252.618096,76843316.559217,63.941121
21,5,76843752.618096,76843816.552346,63.934249
22,1,76845151.996736,76845216.559365,64.562628
22,2,76845651.996736,76845716.541594,64.544857
22,3,76846151.996736,76846216.570322,64.573585
22,4,76846651.996736,76846717.367241,65.370504
22,5,76847151.996736,76847216.544879,64.548142
23,1,76848497.490788,76848556.562478,59.071691
23,2,76848997.490788,76849056.579707,59.088919
23,3,76849497.490788,76849556.547535,59.056748
23,4,76849997.490788,76850056.533864,59.043076
23,5,76850497.490788,76850557.359083,59.868295
24,1,76851880.955108,76851936.542539,55.587430
24,2,76852380.955108,76852436.558467,55.603358
24,3,76852880.955108,76852936.526996,55.571887
24,4,76853380.955108,76853437.352215,56.397106
24,5,76853880.955108,76853936.550552,55.595444
25,1,76855243.895162,76855306.534712,62.639550
25,2,76855743.895162,76855806.532240,62.637079
25,3,76856243.895162,76856306.546769,62.651607
25,4,76856743.895162,76856806.527897,62.632736
25,5,76857243.895162,76857306.564625,62.669463
