file,press,beep,target_ms,selftest_late_ms,stamp_late_ms,fit_late_ms,fit_rms_ms,flags
beep-selftest-deviceclock-20260923-093925-557.csv,1,1,76774187.902,58.834,58.754,48.974,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,1,2,76774687.902,58.826,58.745,48.980,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,1,3,76775187.902,58.848,58.768,48.989,0.225,
beep-selftest-deviceclock-20260923-093925-557.csv,1,4,76775687.902,58.816,58.736,48.995,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,1,5,76776187.902,58.840,58.760,48.998,0.225,
beep-selftest-deviceclock-20260923-093925-557.csv,2,1,76777582.412,64.330,64.250,54.492,0.225,
beep-selftest-deviceclock-20260923-093925-557.csv,2,2,76778082.412,64.339,64.259,54.492,0.225,
beep-selftest-deviceclock-20260923-093925-557.csv,2,3,76778582.412,64.305,64.225,54.489,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,2,4,76779082.412,64.293,64.213,54.487,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,2,5,76779582.412,64.300,64.219,54.487,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,3,1,76780980.508,56.194,56.114,46.375,0.228,
beep-selftest-deviceclock-20260923-093925-557.csv,3,2,76781480.508,56.226,56.145,46.369,0.228,
beep-selftest-deviceclock-20260923-093925-557.csv,3,3,76781980.508,57.012,56.932,46.363,0.228,
beep-selftest-deviceclock-20260923-093925-557.csv,3,4,76782480.508,56.235,56.154,46.356,0.227,
beep-selftest-deviceclock-20260923-093925-557.csv,3,5,76782980.508,56.193,56.112,46.351,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,4,1,76784331.476,65.222,65.142,55.369,0.227,
beep-selftest-deviceclock-20260923-093925-557.csv,4,2,76784831.476,65.208,65.128,55.367,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,4,3,76785331.476,66.035,65.954,55.367,0.227,
beep-selftest-deviceclock-20260923-093925-557.csv,4,4,76785831.476,65.228,65.147,55.364,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,4,5,76786331.476,65.218,65.137,55.364,0.225,
beep-selftest-deviceclock-20260923-093925-557.csv,5,1,76787708.042,58.651,58.571,48.809,0.225,
beep-selftest-deviceclock-20260923-093925-557.csv,5,2,76788208.042,58.679,58.599,48.812,0.225,
beep-selftest-deviceclock-20260923-093925-557.csv,5,3,76788708.042,58.661,58.581,48.814,0.224,
beep-selftest-deviceclock-20260923-093925-557.csv,5,4,76789208.042,58.677,58.596,48.816,0.225,
beep-selftest-deviceclock-20260923-093925-557.csv,5,5,76789708.042,58.643,58.562,48.820,0.225,
beep-selftest-deviceclock-20260923-093925-557.csv,6,1,76791079.184,57.496,57.416,47.674,0.225,
beep-selftest-deviceclock-20260923-093925-557.csv,6,2,76791579.184,58.312,58.232,47.674,0.225,
beep-selftest-deviceclock-20260923-093925-557.csv,6,3,76792079.184,57.521,57.441,47.671,0.225,
beep-selftest-deviceclock-20260923-093925-557.csv,6,4,76792579.184,57.491,57.411,47.672,0.225,
beep-selftest-deviceclock-20260923-093925-557.csv,6,5,76793079.184,57.501,57.420,47.674,0.225,
beep-selftest-deviceclock-20260923-093925-557.csv,7,1,76794433.016,63.691,63.611,53.842,0.223,
beep-selftest-deviceclock-20260923-093925-557.csv,7,2,76794933.016,64.471,64.391,53.841,0.223,
beep-selftest-deviceclock-20260923-093925-557.csv,7,3,76795433.016,63.689,63.608,53.833,0.224,
beep-selftest-deviceclock-20260923-093925-557.csv,7,4,76795933.016,63.686,63.606,53.831,0.223,
beep-selftest-deviceclock-20260923-093925-557.csv,7,5,76796433.016,63.691,63.611,53.825,0.223,
beep-selftest-deviceclock-20260923-093925-557.csv,8,1,76797836.195,60.504,60.424,50.639,0.222,
beep-selftest-deviceclock-20260923-093925-557.csv,8,2,76798336.195,60.468,60.387,50.631,0.222,
beep-selftest-deviceclock-20260923-093925-557.csv,8,3,76798836.195,60.502,60.422,50.623,0.223,
beep-selftest-deviceclock-20260923-093925-557.csv,8,4,76799336.195,60.465,60.384,50.613,0.224,
beep-selftest-deviceclock-20260923-093925-557.csv,8,5,76799836.195,60.486,60.406,50.607,0.225,
beep-selftest-deviceclock-20260923-093925-557.csv,9,1,76801211.369,65.292,65.211,55.417,0.225,
beep-selftest-deviceclock-20260923-093925-557.csv,9,2,76801711.369,65.308,65.228,55.413,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,9,3,76802211.369,65.305,65.225,55.410,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,9,4,76802711.369,65.322,65.242,55.409,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,9,5,76803211.369,66.099,66.019,55.410,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,10,1,76804595.456,61.213,61.132,51.318,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,10,2,76805095.456,61.180,61.100,51.317,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,10,3,76805595.456,61.190,61.110,51.314,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,10,4,76806095.456,62.005,61.925,51.314,0.226,
beep-selftest-deviceclock-20260923-093925-557.csv,10,5,76806595.456,61.217,61.136,51.313,0.226,
