press,beep index,target ms,onset ms,lateness ms
1,1,76159054.773284,76159079.455665,24.682381
1,2,76159554.773284,76159580.262911,25.489627
1,3,76160054.773284,76160080.285739,25.512455
1,4,76160554.773284,76160580.281343,25.508059
1,5,76161054.773284,76161081.116462,26.343178
2,1,76162440.515478,76162466.015038,25.499560
2,2,76162940.515478,76162966.028918,25.513439
2,3,76163440.515478,76163466.061146,25.545668
2,4,76163940.515478,76163966.028075,25.512596
2,5,76164440.515478,76164466.008352,25.492873
3,1,76165805.124713,76165830.628623,25.503910
3,2,76166305.124713,76166330.638951,25.514238
3,3,76166805.124713,76166830.626380,25.501667
3,4,76167305.124713,76167330.651784,25.527071
3,5,76167805.124713,76167830.650912,25.526199
4,1,76169157.719684,76169183.255279,25.535595
4,2,76169657.719684,76169683.228207,25.508524
4,3,76170157.719684,76170183.230360,25.510677
4,4,76170657.719684,76170683.219564,25.499881
4,5,76171157.719684,76171183.221493,25.501809
5,1,76172540.228315,76172565.712942,25.484627
5,2,76173040.228315,76173065.714270,25.485955
5,3,76173540.228315,76173565.709899,25.481584
5,4,76174040.228315,76174065.736727,25.508412
5,5,76174540.228315,76174564.919238,24.690923
6,1,76175911.543773,76175937.047393,25.503619
6,2,76176411.543773,76176437.878387,26.334614
6,3,76176911.543773,76176937.062925,25.519152
6,4,76177411.543773,76177436.317038,24.773265
6,5,76177911.543773,76177937.041906,25.498133
7,1,76179300.965626,76179326.454152,25.488526
7,2,76179800.965626,76179826.469581,25.503954
7,3,76180300.965626,76180325.643192,24.677566
7,4,76180800.965626,76180826.436638,25.471011
7,5,76181300.965626,76181326.488841,25.523215
8,1,76182656.162468,76182681.653013,25.490546
8,2,76183156.162468,76183181.693117,25.530649
8,3,76183656.162468,76183680.830053,24.667585
8,4,76184156.162468,76184181.667474,25.505006
8,5,76184656.162468,76184681.690602,25.528134
9,1,76186036.290226,76186061.786726,25.496500
9,2,76186536.290226,76186560.963037,24.672811
9,3,76187036.290226,76187061.780283,25.490057
9,4,76187536.290226,76187561.831186,25.540960
9,5,76188036.290226,76188061.795439,25.505213
10,1,76189434.472680,76189460.004396,25.531716
10,2,76189934.472680,76189959.979249,25.506569
10,3,76190434.472680,76190460.022728,25.550049
10,4,76190934.472680,76190960.811072,26.338392
10,5,76191434.472680,76191460.023485,25.550805
11,1,76192812.327664,76192837.859761,25.532097
11,2,76193312.327664,76193337.823138,25.495474
11,3,76193812.327664,76193838.649033,26.321369
11,4,76194312.327664,76194337.843170,25.515507
11,5,76194812.327664,76194837.035557,24.707893
12,1,76196217.347840,76196242.879450,25.531611
12,2,76196717.347840,76196742.855103,25.507264
12,3,76197217.347840,76197242.045214,24.697375
12,4,76197717.347840,76197742.864036,25.516196
12,5,76198217.347840,76198242.885064,25.537224
13,1,76199598.227390,76199623.748778,25.521389
13,2,76200098.227390,76200122.931890,24.704500
13,3,76200598.227390,76200623.736035,25.508646
13,4,76201098.227390,76201123.733264,25.505874
13,5,76201598.227390,76201623.758368,25.530978
14,1,76202978.588245,76203003.270929,24.682684
14,2,76203478.588245,76203504.126150,25.537905
14,3,76203978.588245,76204004.110278,25.522033
14,4,76204478.588245,76204504.141682,25.553437
14,5,76204978.588245,76205004.119411,25.531165
15,1,76206332.679799,76206357.371191,24.691392
15,2,76206832.679799,76206858.211312,25.531513
