press,beep index,target ms,onset ms,lateness ms
1,1,76074544.657502,76074606.607460,61.949958
1,2,76075044.657502,76075106.592189,61.934687
1,3,76075544.657502,76075606.608017,61.950515
1,4,76076044.657502,76076106.606246,61.948743
1,5,76076544.657502,76076606.593274,61.935772
2,1,76077932.933468,76077996.588907,63.655439
2,2,76078432.933468,76078496.591535,63.658067
2,3,76078932.933468,76078997.421854,64.488386
2,4,76079432.933468,76079496.609292,63.675824
2,5,76079932.933468,76079996.603620,63.670152
3,1,76081303.276938,76081366.594180,63.317243
3,2,76081803.276938,76081866.573009,63.296071
3,3,76082303.276938,76082366.587337,63.310399
3,4,76082803.276938,76082866.569866,63.292928
3,5,76083303.276938,76083366.598894,63.321956
4,1,76084667.890372,76084726.567067,58.676695
4,2,76085167.890372,76085226.604395,58.714023
4,3,76085667.890372,76085726.572024,58.681652
4,4,76086167.890372,76086226.564552,58.674180
4,5,76086667.890372,76086726.570081,58.679709
5,1,76088063.784852,76088126.585800,62.800948
5,2,76088563.784852,76088626.582728,62.797877
5,3,76089063.784852,76089126.554457,62.769606
5,4,76089563.784852,76089626.577285,62.792434
5,5,76090063.784852,76090126.587814,62.802962
6,1,76091457.315758,76091516.580346,59.264589
6,2,76091957.315758,76092016.574075,59.258317
6,3,76092457.315758,76092516.578203,59.262445
6,4,76092957.315758,76093016.574232,59.258474
6,5,76093457.315758,76093517.380451,60.064693
7,1,76094851.817753,76094916.558480,64.740726
7,2,76095351.817753,76095416.557408,64.739655
7,3,76095851.817753,76095917.374127,65.556374
7,4,76096351.817753,76096416.557765,64.740012
7,5,76096851.817753,76096916.543893,64.726140
8,1,76098228.694849,76098286.542053,57.847205
8,2,76098728.694849,76098786.552481,57.857633
8,3,76099228.694849,76099286.549310,57.854461
8,4,76099728.694849,76099786.531638,57.836790
8,5,76100228.694849,76100286.550867,57.856018
9,1,76101589.929721,76101646.545740,56.616019
9,2,76102089.929721,76102146.545168,56.615447
9,3,76102589.929721,76102646.548297,56.618575
9,4,76103089.929721,76103146.513025,56.583304
9,5,76103589.929721,76103646.536953,56.607232
10,1,76104957.432923,76105016.534513,59.101590
10,2,76105457.432923,76105517.346732,59.913810
10,3,76105957.432923,76106016.503270,59.070348
10,4,76106457.432923,76106516.533198,59.100276
10,5,76106957.432923,76107016.527927,59.095004
11,1,76108324.987624,76108386.527687,61.540063
11,2,76108824.987624,76108886.536515,61.548891
11,3,76109324.987624,76109386.526643,61.539020
11,4,76109824.987624,76109886.522872,61.535248
11,5,76110324.987624,76110386.509300,61.521677
12,1,76111726.056445,76111786.514120,60.457675
12,2,76112226.056445,76112286.516448,60.460003
12,3,76112726.056445,76112786.521076,60.464632
12,4,76113226.056445,76113286.511505,60.455060
12,5,76113726.056445,76113786.521633,60.465188
13,1,76115120.242944,76115176.488466,56.245523
13,2,76115620.242944,76115676.501695,56.258751
13,3,76116120.242944,76116176.507223,56.264279
13,4,76116620.242944,76116677.315442,57.072499
13,5,76117120.242944,76117176.503380,56.260436
14,1,76118502.249081,76118566.499413,64.250332
14,2,76119002.249081,76119066.468942,64.219861
14,3,76119502.249081,76119566.465570,64.216489
14,4,76120002.249081,76120066.493098,64.244017
14,5,76120502.249081,76120566.489126,64.240046
15,1,76121866.782916,76121926.480600,59.697684
15,2,76122366.782916,76122426.494328,59.711412
15,3,76122866.782916,76122926.486556,59.703640
15,4,76123366.782916,76123426.493885,59.710969
15,5,76123866.782916,76123926.481213,59.698297
16,1,76125247.207871,76125306.481360,59.273488
16,2,76125747.207871,76125806.480588,59.272717
16,3,76126247.207871,76126306.472716,59.264845
16,4,76126747.207871,76126806.446145,59.238274
16,5,76127247.207871,76127306.448673,59.240802
17,1,76128597.273670,76128656.443360,59.169690
17,2,76129097.273670,76129157.281279,60.007609
17,3,76129597.273670,76129656.432917,59.159247
17,4,76130097.273670,76130156.444845,59.171175
17,5,76130597.273670,76130656.439574,59.165903
18,1,76131951.337924,76132016.461847,65.123922
18,2,76132451.337924,76132517.271866,65.933941
18,3,76132951.337924,76133016.456603,65.118679
18,4,76133451.337924,76133516.426332,65.088408
18,5,76133951.337924,76134016.457660,65.119736
19,1,76135310.833617,76135376.431134,65.597517
19,2,76135810.833617,76135877.262053,66.428436
19,3,76136310.833617,76136376.452290,65.618673
19,4,76136810.833617,76136876.422219,65.588602
19,5,76137310.833617,76137376.437747,65.604130
20,1,76138672.220688,76138736.446420,64.225732
20,2,76139172.220688,76139237.252939,65.032252
20,3,76139672.220688,76139736.445877,64.225189
20,4,76140172.220688,76140236.408806,64.188118
20,5,76140672.220688,76140736.439134,64.218446
21,1,76142061.128947,76142126.410067,65.281120
21,2,76142561.128947,76142626.429795,65.300848
21,3,76143061.128947,76143126.427424,65.298477
21,4,76143561.128947,76143626.421252,65.292305
21,5,76144061.128947,76144126.424780,65.295834
22,1,76145434.131486,76145496.396540,62.265055
22,2,76145934.131486,76145996.403569,62.272083
22,3,76146434.131486,76146496.428697,62.297211
22,4,76146934.131486,76146996.392426,62.260940
