file,press,beep,target_ms,selftest_late_ms,stamp_late_ms,fit_late_ms,fit_rms_ms,flags
beep-selftest-legacy-20260923-092745-854.csv,1,1,76074544.658,61.950,61.882,52.098,0.224,
beep-selftest-legacy-20260923-092745-854.csv,1,2,76075044.658,61.935,61.873,52.105,0.224,
beep-selftest-legacy-20260923-092745-854.csv,1,3,76075544.658,61.951,61.894,52.111,0.226,
beep-selftest-legacy-20260923-092745-854.csv,1,4,76076044.658,61.949,61.898,52.119,0.226,
beep-selftest-legacy-20260923-092745-854.csv,1,5,76076544.658,61.936,61.891,52.127,0.225,
beep-selftest-legacy-20260923-092745-854.csv,2,1,76077932.933,63.655,63.626,53.859,0.226,
beep-selftest-legacy-20260923-092745-854.csv,2,2,76078432.933,63.658,63.635,53.864,0.225,
beep-selftest-legacy-20260923-092745-854.csv,2,3,76078932.933,64.488,64.471,53.868,0.225,
beep-selftest-legacy-20260923-092745-854.csv,2,4,76079432.933,63.676,63.664,53.871,0.226,
beep-selftest-legacy-20260923-092745-854.csv,2,5,76079932.933,63.670,63.664,53.874,0.227,
beep-selftest-legacy-20260923-092745-854.csv,3,1,76081303.277,63.317,63.326,53.543,0.228,
beep-selftest-legacy-20260923-092745-854.csv,3,2,76081803.277,63.296,63.311,53.550,0.227,
beep-selftest-legacy-20260923-092745-854.csv,3,3,76082303.277,63.310,63.331,53.555,0.227,
beep-selftest-legacy-20260923-092745-854.csv,3,4,76082803.277,63.293,63.319,53.559,0.227,
beep-selftest-legacy-20260923-092745-854.csv,3,5,76083303.277,63.322,63.354,53.565,0.227,
beep-selftest-legacy-20260923-092745-854.csv,4,1,76084667.890,58.677,58.724,48.964,0.228,
beep-selftest-legacy-20260923-092745-854.csv,4,2,76085167.890,58.714,58.767,48.969,0.228,
beep-selftest-legacy-20260923-092745-854.csv,4,3,76085667.890,58.682,58.740,48.974,0.227,
beep-selftest-legacy-20260923-092745-854.csv,4,4,76086167.890,58.674,58.738,48.975,0.227,
beep-selftest-legacy-20260923-092745-854.csv,4,5,76086667.890,58.680,58.750,48.979,0.226,
beep-selftest-legacy-20260923-092745-854.csv,5,1,76088063.785,62.801,62.887,53.095,0.225,
beep-selftest-legacy-20260923-092745-854.csv,5,2,76088563.785,62.798,62.889,53.099,0.224,
beep-selftest-legacy-20260923-092745-854.csv,5,3,76089063.785,62.770,62.867,53.103,0.225,
beep-selftest-legacy-20260923-092745-854.csv,5,4,76089563.785,62.792,62.895,53.108,0.225,
beep-selftest-legacy-20260923-092745-854.csv,5,5,76090063.785,62.803,62.911,53.113,0.225,
beep-selftest-legacy-20260923-092745-854.csv,6,1,76091457.316,59.265,59.389,49.593,0.224,
beep-selftest-legacy-20260923-092745-854.csv,6,2,76091957.316,59.258,59.388,49.598,0.224,
beep-selftest-legacy-20260923-092745-854.csv,6,3,76092457.316,59.262,59.398,49.603,0.224,
beep-selftest-legacy-20260923-092745-854.csv,6,4,76092957.316,59.258,59.400,49.608,0.224,
beep-selftest-legacy-20260923-092745-854.csv,6,5,76093457.316,60.065,60.212,49.611,0.225,
beep-selftest-legacy-20260923-092745-854.csv,7,1,76094851.818,64.741,64.904,55.119,0.225,
