press,beep index,target ms,onset ms,lateness ms
1,1,76651984.041486,76652009.551046,25.509560
1,2,76652484.041486,76652509.547674,25.506189
1,3,76652984.041486,76653009.500052,25.458566
1,4,76653484.041486,76653508.720638,24.679153
1,5,76653984.041486,76654009.548359,25.506874
2,1,76655386.702288,76655412.201334,25.499046
2,2,76655886.702288,76655912.213438,25.511150
2,3,76656386.702288,76656412.228242,25.525954
2,4,76656886.702288,76656912.195095,25.492807
2,5,76657386.702288,76657412.222999,25.520711
3,1,76658786.589823,76658812.075966,25.486143
3,2,76659286.589823,76659312.093970,25.504147
3,3,76659786.589823,76659812.067223,25.477400
3,4,76660286.589823,76660312.071551,25.481728
3,5,76660786.589823,76660812.111655,25.521832
4,1,76662191.125504,76662217.425985,26.300481
4,2,76662691.125504,76662716.610923,25.485419
4,3,76663191.125504,76663216.631427,25.505923
4,4,76663691.125504,76663716.617156,25.491651
4,5,76664191.125504,76664216.616484,25.490980
5,1,76665548.458121,76665573.942875,25.484754
5,2,76666048.458121,76666073.971354,25.513233
5,3,76666548.458121,76666573.957483,25.499362
5,4,76667048.458121,76667073.969211,25.511090
5,5,76667548.458121,76667573.968639,25.510518
6,1,76668952.814505,76668978.353951,25.539446
6,2,76669452.814505,76669478.348179,25.533674
6,3,76669952.814505,76669978.319208,25.504703
6,4,76670452.814505,76670478.313136,25.498632
6,5,76670952.814505,76670979.128155,26.313651
7,1,76672326.891532,76672352.379011,25.487479
7,2,76672826.891532,76672852.410915,25.519383
7,3,76673326.891532,76673352.419943,25.528411
7,4,76673826.891532,76673852.411071,25.519540
7,5,76674326.891532,76674352.433675,25.542144
8,1,76675708.379775,76675733.867453,25.487678
8,2,76676208.379775,76676233.912132,25.532357
8,3,76676708.379775,76676733.888185,25.508410
8,4,76677208.379775,76677233.876138,25.496363
8,5,76677708.379775,76677733.875466,25.495691
9,1,76679065.830490,76679091.393161,25.562670
9,2,76679565.830490,76679591.352714,25.522223
9,3,76680065.830490,76680091.357018,25.526527
9,4,76680565.830490,76680591.360846,25.530356
9,5,76681065.830490,76681091.333699,25.503209
10,1,76682473.398237,76682499.711620,26.313382
10,2,76682973.398237,76682998.906233,25.507995
10,3,76683473.398237,76683498.904761,25.506524
10,4,76683973.398237,76683998.913489,25.515252
10,5,76684473.398237,76684498.907018,25.508780
11,1,76685856.919457,76685882.455863,25.536406
11,2,76686356.919457,76686381.629374,24.709917
11,3,76686856.919457,76686882.452420,25.532963
11,4,76687356.919457,76687382.423673,25.504216
11,5,76687856.919457,76687882.455353,25.535895
12,1,76689245.649318,76689270.321466,24.672148
12,2,76689745.649318,76689771.168787,25.519469
12,3,76690245.649318,76690271.170315,25.520997
12,4,76690745.649318,76690771.136668,25.487350
12,5,76691245.649318,76691271.151197,25.501878
13,1,76692643.178979,76692668.659789,25.480810
13,2,76693143.178979,76693168.711268,25.532289
13,3,76693643.178979,76693668.691546,25.512566
13,4,76694143.178979,76694168.709325,25.530346
13,5,76694643.178979,76694667.872361,24.693382
14,1,76695992.937882,76696018.446959,25.509076
14,2,76696492.937882,76696518.440938,25.503056
14,3,76696992.937882,76697019.245782,26.307900
14,4,76697492.937882,76697518.417620,25.479738
14,5,76697992.937882,76698018.451448,25.513566
15,1,76699364.115942,76699389.598733,25.482791
15,2,76699864.115942,76699889.638237,25.522295
15,3,76700364.115942,76700389.639265,25.523323
15,4,76700864.115942,76700889.621993,25.506051
15,5,76701364.115942,76701388.829104,24.713162
16,1,76702725.036118,76702750.538590,25.502472
16,2,76703225.036118,76703250.544118,25.508000
16,3,76703725.036118,76703750.547547,25.511428
16,4,76704225.036118,76704250.557851,25.521732
16,5,76704725.036118,76704749.749786,24.713667
17,1,76706115.372561,76706141.717935,26.345374
17,2,76706615.372561,76706640.868297,25.495736
17,3,76707115.372561,76707140.537693,25.165132
17,4,76707615.372561,76707640.865054,25.492493
17,5,76708115.372561,76708140.863782,25.491221
18,1,76709513.895411,76709539.415371,25.519960
18,2,76710013.895411,76710039.420399,25.524989
18,3,76710513.895411,76710539.426152,25.530741
18,4,76711013.895411,76711039.415380,25.519970
18,5,76711513.895411,76711540.231775,26.336365
19,1,76712889.168724,76712914.678055,25.509331
19,2,76713389.168724,76713414.674408,25.505684
19,3,76713889.168724,76713914.714388,25.545663
19,4,76714389.168724,76714414.658741,25.490017
19,5,76714889.168724,76714914.696444,25.527720
20,1,76716281.396745,76716306.876399,25.479654
20,2,76716781.396745,76716806.880927,25.484182
20,3,76717281.396745,76717306.940531,25.543786
20,4,76717781.396745,76717806.908260,25.511514
20,5,76718281.396745,76718306.078271,24.681526
21,1,76719680.832085,76719706.354820,25.522736
21,2,76720180.832085,76720206.336973,25.504889
21,3,76720680.832085,76720705.538036,24.705951
21,4,76721180.832085,76721206.329906,25.497821
21,5,76721680.832085,76721706.345434,25.513349
22,1,76723049.443874,76723074.959465,25.515592
22,2,76723549.443874,76723574.948718,25.504844
22,3,76724049.443874,76724074.938247,25.494373
22,4,76724549.443874,76724574.969450,25.525577
22,5,76725049.443874,76725074.980954,25.537081
23,1,76726446.684038,76726472.185790,25.501752
23,2,76726946.684038,76726972.208418,25.524380
23,3,76727446.684038,76727472.185571,25.501533
23,4,76727946.684038,76727972.173199,25.489161
23,5,76728446.684038,76728472.212679,25.528641
24,1,76729838.636962,76729864.110952,25.473990
24,2,76730338.636962,76730364.116780,25.479818
24,3,76730838.636962,76730864.947475,26.310513
24,4,76731338.636962,76731364.153112,25.516150
24,5,76731838.636962,76731863.342199,24.705237
25,1,76733211.852499,76733237.345719,25.493220
25,2,76733711.852499,76733738.161238,26.308739
25,3,76734211.852499,76734237.397751,25.545252
25,4,76734711.852499,76734737.366804,25.514305
25,5,76735211.852499,76735237.356932,25.504433
