press,beep index,target ms,onset ms,lateness ms
1,1,76567418.419934,76567480.904086,62.484152
1,2,76567918.419934,76567980.885414,62.465481
1,3,76568418.419934,76568480.910842,62.490909
1,4,76568918.419934,76568981.703762,63.283828
1,5,76569418.419934,76569480.897699,62.477766
2,1,76570772.426188,76570830.877486,58.451298
2,2,76571272.426188,76571330.897314,58.471126
2,3,76571772.426188,76571830.871243,58.445055
2,4,76572272.426188,76572330.899471,58.473283
2,5,76572772.426188,76572830.879200,58.453011
3,1,76574157.945386,76574220.873333,62.927947
3,2,76574657.945386,76574720.870561,62.925175
3,3,76575157.945386,76575221.687680,63.742295
3,4,76575657.945386,76575720.858418,62.913032
3,5,76576157.945386,76576220.872646,62.927261
4,1,76577541.347107,76577600.893592,59.546485
4,2,76578041.347107,76578101.679012,60.331905
4,3,76578541.347107,76578600.897249,59.550142
4,4,76579041.347107,76579100.856978,59.509871
4,5,76579541.347107,76579600.874506,59.527399
5,1,76580901.531592,76580960.845880,59.314288
5,2,76581401.531592,76581461.670399,60.138807
5,3,76581901.531592,76581960.852636,59.321045
5,4,76582401.531592,76582460.873464,59.341873
5,5,76582901.531592,76582960.871493,59.339901
6,1,76584286.516895,76584350.865826,64.348931
6,2,76584786.516895,76584850.845554,64.328660
6,3,76585286.516895,76585350.866882,64.349988
6,4,76585786.516895,76585850.824711,64.307817
6,5,76586286.516895,76586350.828440,64.311545
7,1,76587675.651251,76587740.839472,65.188221
7,2,76588175.651251,76588240.860401,65.209150
7,3,76588675.651251,76588740.828329,65.177078
7,4,76589175.651251,76589240.865757,65.214506
7,5,76589675.651251,76589741.648277,65.997026
8,1,76591077.497663,76591140.850205,63.352542
8,2,76591577.497663,76591640.859734,63.362071
8,3,76592077.497663,76592141.642053,64.144390
8,4,76592577.497663,76592640.857890,63.360227
8,5,76593077.497663,76593140.850819,63.353156
9,1,76594465.908228,76594530.821052,64.912825
9,2,76594965.908228,76595030.830080,64.921853
9,3,76595465.908228,76595530.820609,64.912381
9,4,76595965.908228,76596030.809937,64.901710
9,5,76596465.908228,76596530.814166,64.905938
10,1,76597844.214007,76597901.626416,57.412410
10,2,76598344.214007,76598400.798854,56.584847
10,3,76598844.214007,76598900.802882,56.588876
10,4,76599344.214007,76599400.827810,56.613804
10,5,76599844.214007,76599900.800839,56.586832
11,1,76601250.309270,76601310.795845,60.486575
11,2,76601750.309270,76601810.789474,60.480203
11,3,76602250.309270,76602310.795602,60.486331
