file,press,beep,target_ms,selftest_late_ms,stamp_late_ms,fit_late_ms,fit_rms_ms,flags
beep-selftest-legacy-20260923-093558-797.csv,1,1,76567418.420,62.484,62.404,52.588,0.225,
beep-selftest-legacy-20260923-093558-797.csv,1,2,76567918.420,62.465,62.385,52.589,0.226,
beep-selftest-legacy-20260923-093558-797.csv,1,3,76568418.420,62.491,62.411,52.590,0.227,
beep-selftest-legacy-20260923-093558-797.csv,1,4,76568918.420,63.284,63.203,52.595,0.227,
beep-selftest-legacy-20260923-093558-797.csv,1,5,76569418.420,62.478,62.397,52.596,0.227,
beep-selftest-legacy-20260923-093558-797.csv,2,1,76570772.426,58.451,58.371,48.591,0.225,
beep-selftest-legacy-20260923-093558-797.csv,2,2,76571272.426,58.471,58.391,48.588,0.225,
beep-selftest-legacy-20260923-093558-797.csv,2,3,76571772.426,58.445,58.365,48.586,0.225,
beep-selftest-legacy-20260923-093558-797.csv,2,4,76572272.426,58.473,58.393,48.586,0.226,
beep-selftest-legacy-20260923-093558-797.csv,2,5,76572772.426,58.453,58.373,48.587,0.226,
beep-selftest-legacy-20260923-093558-797.csv,3,1,76574157.945,62.928,62.848,53.062,0.225,
beep-selftest-legacy-20260923-093558-797.csv,3,2,76574657.945,62.925,62.845,53.060,0.225,
beep-selftest-legacy-20260923-093558-797.csv,3,3,76575157.945,63.742,63.662,53.056,0.225,
beep-selftest-legacy-20260923-093558-797.csv,3,4,76575657.945,62.913,62.833,53.052,0.225,
beep-selftest-legacy-20260923-093558-797.csv,3,5,76576157.945,62.927,62.847,53.046,0.226,
beep-selftest-legacy-20260923-093558-797.csv,4,1,76577541.347,59.546,59.466,49.639,0.226,
beep-selftest-legacy-20260923-093558-797.csv,4,2,76578041.347,60.332,60.251,49.637,0.226,
beep-selftest-legacy-20260923-093558-797.csv,4,3,76578541.347,59.550,59.470,49.636,0.227,
beep-selftest-legacy-20260923-093558-797.csv,4,4,76579041.347,59.510,59.429,49.631,0.227,
beep-selftest-legacy-20260923-093558-797.csv,4,5,76579541.347,59.527,59.447,49.634,0.226,
beep-selftest-legacy-20260923-093558-797.csv,5,1,76580901.532,59.314,59.234,49.446,0.227,
beep-selftest-legacy-20260923-093558-797.csv,5,2,76581401.532,60.139,60.058,49.448,0.226,
