press,beep index,target ms,onset ms,lateness ms
1,1,71318907.271100,71318932.767897,25.496797
1,2,71319407.271100,71319433.631773,26.360673
1,3,71319907.271100,71319932.789097,25.517997
1,4,71320407.271100,71320431.962470,24.691370
1,5,71320907.271100,71320932.751421,25.480321
2,1,71322290.003600,71322316.353485,26.349885
2,2,71322790.003600,71322815.546785,25.543185
2,3,71323290.003600,71323314.699083,24.695483
2,4,71323790.003600,71323815.505710,25.502110
2,5,71324290.003600,71324315.534185,25.530585
3,1,71325650.903800,71325676.447939,25.544139
3,2,71326150.903800,71326176.419163,25.515363
3,3,71326650.903800,71326675.576061,24.672261
3,4,71327150.903800,71327176.424963,25.521163
3,5,71327650.903800,71327676.417763,25.513963
4,1,71329004.849500,71329031.194066,26.344566
4,2,71329504.849500,71329530.365966,25.516466
4,3,71330004.849500,71330030.386166,25.536666
4,4,71330504.849500,71330530.365090,25.515590
4,5,71331004.849500,71331030.356990,25.507490
5,1,71332396.844100,71332422.361155,25.517055
5,2,71332896.844100,71332921.498877,24.654777
5,3,71333396.844100,71333422.339479,25.495379
5,4,71333896.844100,71333922.349279,25.505179
5,5,71334396.844100,71334422.327803,25.483703
6,1,71335800.979700,71335826.487363,25.507663
6,2,71336300.979700,71336326.493263,25.513563
6,3,71336800.979700,71336827.334963,26.355263
6,4,71337300.979700,71337326.478688,25.498988
6,5,71337800.979700,71337826.486188,25.506488
7,1,71339161.892000,71339187.406417,25.514417
7,2,71339661.892000,71339687.401417,25.509417
7,3,71340161.892000,71340188.247517,26.355517
7,4,71340661.892000,71340687.392741,25.500741
7,5,71341161.892000,71341187.391141,25.499141
8,1,71342565.334700,71342591.668278,26.333578
8,2,71343065.334700,71343090.858678,25.523978
8,3,71343565.334700,71343590.865878,25.531178
8,4,71344065.334700,71344090.863778,25.529078
8,5,71344565.334700,71344590.853602,25.518902
9,1,71345960.184600,71345985.689010,25.504410
9,2,71346460.184600,71346485.668434,25.483834
9,3,71346960.184600,71346985.674334,25.489734
9,4,71347460.184600,71347485.698910,25.514310
9,5,71347960.184600,71347985.679734,25.495134
10,1,71349328.314100,71349352.969945,24.655845
10,2,71349828.314100,71349853.828848,25.514748
10,3,71350328.314100,71350353.824548,25.510448
10,4,71350828.314100,71350853.806472,25.492372
10,5,71351328.314100,71351354.642872,26.328772
11,1,71352696.355800,71352721.026356,24.670556
11,2,71353196.355800,71353221.869959,25.514159
11,3,71353696.355800,71353721.877059,25.521259
11,4,71354196.355800,71354221.851983,25.496183
11,5,71354696.355800,71354721.881159,25.525358
12,1,71356060.204200,71356085.732182,25.527982
12,2,71356560.204200,71356585.744158,25.539958
12,3,71357060.204200,71357085.695807,25.491607
12,4,71357560.204200,71357585.721907,25.517707
12,5,71358060.204200,71358085.694907,25.490707
13,1,71359439.176600,71359464.695098,25.518498
13,2,71359939.176600,71359964.691198,25.514598
13,3,71360439.176600,71360464.694098,25.517498
13,4,71360939.176600,71360964.701698,25.525098
13,5,71361439.176600,71361464.684423,25.507823
14,1,71362827.282500,71362852.767785,25.485285
14,2,71363327.282500,71363353.631261,26.348761
14,3,71363827.282500,71363852.795461,25.512961
14,4,71364327.282500,71364351.938983,24.656483
14,5,71364827.282500,71364852.810761,25.528261
15,1,71366181.535300,71366207.033348,25.498048
15,2,71366681.535300,71366707.899024,26.363724
15,3,71367181.535300,71367207.043048,25.507748
15,4,71367681.535300,71367707.023872,25.488572
15,5,71368181.535300,71368207.030672,25.495372
16,1,71369565.491600,71369591.846126,26.354526
16,2,71370065.491600,71370090.963475,25.471875
16,3,71370565.491600,71370590.961199,25.469599
16,4,71371065.491600,71371090.980775,25.489175
16,5,71371565.491600,71371591.022950,25.531350
17,1,71372954.671700,71372980.215648,25.543948
17,2,71373454.671700,71373479.331846,24.660146
17,3,71373954.671700,71373980.200224,25.528524
17,4,71374454.671700,71374480.186648,25.514948
17,5,71374954.671700,71374980.184448,25.512748
18,1,71376301.895200,71376327.435632,25.540432
18,2,71376801.895200,71376827.408057,25.512857
18,3,71377301.895200,71377327.392481,25.497281
