press,beep index,target ms,onset ms,lateness ms
1,1,71234445.549600,71234510.784004,65.234404
1,2,71234945.549600,71235010.795604,65.246004
1,3,71235445.549600,71235510.763204,65.213604
1,4,71235945.549600,71236010.785204,65.235604
1,5,71236445.549600,71236511.611104,66.061504
2,1,71237798.239800,71237860.785604,62.545804
2,2,71238298.239800,71238360.792804,62.553004
2,3,71238798.239800,71238860.798004,62.558204
2,4,71239298.239800,71239360.799304,62.559504
2,5,71239798.239800,71239860.817704,62.577904
3,1,71241192.731900,71241250.813304,58.081404
3,2,71241692.731900,71241750.838804,58.106904
3,3,71242192.731900,71242250.840604,58.108704
3,4,71242692.731900,71242751.662004,58.930104
3,5,71243192.731900,71243250.847604,58.115704
4,1,71244585.704600,71244650.836604,65.132004
4,2,71245085.704600,71245151.681804,65.977204
4,3,71245585.704600,71245650.854304,65.149704
4,4,71246085.704600,71246150.852804,65.148204
4,5,71246585.704600,71246650.886604,65.182004
5,1,71247944.640600,71248000.870604,56.230004
5,2,71248444.640600,71248500.894904,56.254304
5,3,71248944.640600,71249000.884504,56.243904
5,4,71249444.640600,71249500.879704,56.239104
5,5,71249944.640600,71250000.904104,56.263504
6,1,71251321.594200,71251380.898204,59.304004
6,2,71251821.594200,71251880.901804,59.307604
6,3,71252321.594200,71252380.902504,59.308304
6,4,71252821.594200,71252880.908304,59.314104
6,5,71253321.594200,71253380.915404,59.321204
7,1,71254727.365300,71254790.925504,63.560204
7,2,71255227.365300,71255290.923604,63.558304
7,3,71255727.365300,71255790.934004,63.568704
7,4,71256227.365300,71256290.937504,63.572204
7,5,71256727.365300,71256791.777104,64.411804
8,1,71258090.238400,71258150.944604,60.706204
8,2,71258590.238400,71258650.956604,60.718204
8,3,71259090.238400,71259150.958804,60.720404
8,4,71259590.238400,71259650.965004,60.726604
8,5,71260090.238400,71260151.805204,61.566804
9,1,71261449.619100,71261510.980904,61.361804
9,2,71261949.619100,71262010.987504,61.368404
9,3,71262449.619100,71262511.011404,61.392304
9,4,71262949.619100,71263010.992504,61.373404
9,5,71263449.619100,71263511.832504,62.213404
10,1,71264803.693100,71264861.006204,57.313104
10,2,71265303.693100,71265361.013804,57.320704
10,3,71265803.693100,71265861.018504,57.325404
10,4,71266303.693100,71266361.030204,57.337104
10,5,71266803.693100,71266861.023804,57.330704
11,1,71268149.550600,71268211.028204,61.477604
11,2,71268649.550600,71268711.063304,61.512704
11,3,71269149.550600,71269211.060704,61.510104
11,4,71269649.550600,71269711.049604,61.499004
11,5,71270149.550600,71270211.050704,61.500104
12,1,71271511.344600,71271571.059004,59.714404
12,2,71272011.344600,71272071.067704,59.723104
12,3,71272511.344600,71272571.074004,59.729404
12,4,71273011.344600,71273071.078304,59.733704
12,5,71273511.344600,71273571.080604,59.736004
13,1,71274874.473400,71274931.091204,56.617804
13,2,71275374.473400,71275431.112404,56.639004
13,3,71275874.473400,71275931.116204,56.642804
13,4,71276374.473400,71276431.128904,56.655504
13,5,71276874.473400,71276931.108004,56.634604
14,1,71278236.534400,71278301.117404,64.583004
14,2,71278736.534400,71278801.127404,64.593004
14,3,71279236.534400,71279301.140804,64.606404
14,4,71279736.534400,71279801.151104,64.616704
14,5,71280236.534400,71280301.151904,64.617504
15,1,71281607.145500,71281671.145304,63.999804
15,2,71282107.145500,71282171.155004,64.009504
15,3,71282607.145500,71282671.176404,64.030904
15,4,71283107.145500,71283171.153804,64.008304
15,5,71283607.145500,71283671.998804,64.853304
16,1,71285010.720200,71285071.178004,60.457804
16,2,71285510.720200,71285571.176504,60.456304
16,3,71286010.720200,71286072.018304,61.298104
16,4,71286510.720200,71286571.184904,60.464704
16,5,71287010.720200,71287071.190004,60.469804
17,1,71288389.598500,71288451.229804,61.631304
17,2,71288889.598500,71288952.042204,62.443704
17,3,71289389.598500,71289451.241204,61.642704
17,4,71289889.598500,71289951.213204,61.614704
17,5,71290389.598500,71290451.217704,61.619204
18,1,71291759.291800,71291821.230004,61.938204
18,2,71292259.291800,71292321.236604,61.944804
18,3,71292759.291800,71292821.238304,61.946504
18,4,71293259.291800,71293321.239404,61.947604
18,5,71293759.291800,71293821.247704,61.955904
19,1,71295137.149700,71295201.256804,64.107104
19,2,71295637.149700,71295701.261004,64.111304
19,3,71296137.149700,71296201.262304,64.112604
19,4,71296637.149700,71296701.265804,64.116104
19,5,71297137.149700,71297201.293104,64.143404
20,1,71298538.134900,71298601.284404,63.149504
20,2,71299038.134900,71299101.292804,63.157904
20,3,71299538.134900,71299601.295804,63.160904
20,4,71300038.134900,71300101.295804,63.160904
20,5,71300538.134900,71300601.301104,63.166204
21,1,71301909.164200,71301971.336704,62.172504
21,2,71302409.164200,71302471.334504,62.170304
21,3,71302909.164200,71302971.340504,62.176304
21,4,71303409.164200,71303472.161904,62.997704
21,5,71303909.164200,71303971.332604,62.168404
22,1,71305286.808100,71305351.340604,64.532504
22,2,71305786.808100,71305851.343104,64.535004
22,3,71306286.808100,71306352.186004,65.377904
22,4,71306786.808100,71306851.349804,64.541704
22,5,71307286.808100,71307351.352704,64.544604
23,1,71308665.129100,71308721.369904,56.240804
23,2,71309165.129100,71309221.390804,56.261704
23,3,71309665.129100,71309721.394304,56.265204
23,4,71310165.129100,71310221.402304,56.273204
23,5,71310665.129100,71310721.390804,56.261704
24,1,71312042.129900,71312101.394404,59.264504
24,2,71312542.129900,71312601.397704,59.267804
24,3,71313042.129900,71313101.424304,59.294404
24,4,71313542.129900,71313601.415204,59.285304
24,5,71314042.129900,71314101.415404,59.285504
25,1,71315393.843700,71315451.423204,57.579504
25,2,71315893.843700,71315952.265004,58.421304
25,3,71316393.843700,71316451.428504,57.584804
25,4,71316893.843700,71316951.438704,57.595004
25,5,71317393.843700,71317451.438304,57.594604
