file,press,beep,target_ms,selftest_late_ms,stamp_late_ms,fit_late_ms,fit_rms_ms,flags
beep-selftest-legacy-20260923-080705-707.csv,1,1,71234445.550,65.234,65.153,55.315,0.229,
beep-selftest-legacy-20260923-080705-707.csv,1,2,71234945.550,65.246,65.165,55.322,0.229,
beep-selftest-legacy-20260923-080705-707.csv,1,3,71235445.550,65.214,65.132,55.327,0.230,
beep-selftest-legacy-20260923-080705-707.csv,1,4,71235945.550,65.236,65.154,55.333,0.230,
beep-selftest-legacy-20260923-080705-707.csv,1,5,71236445.550,66.062,65.980,55.337,0.231,
beep-selftest-legacy-20260923-080705-707.csv,2,1,71237798.240,62.546,62.464,52.660,0.231,
beep-selftest-legacy-20260923-080705-707.csv,2,2,71238298.240,62.553,62.472,52.664,0.232,
beep-selftest-legacy-20260923-080705-707.csv,2,3,71238798.240,62.558,62.477,52.668,0.231,
beep-selftest-legacy-20260923-080705-707.csv,2,4,71239298.240,62.560,62.478,52.672,0.230,
beep-selftest-legacy-20260923-080705-707.csv,2,5,71239798.240,62.578,62.496,52.677,0.231,
beep-selftest-legacy-20260923-080705-707.csv,3,1,71241192.732,58.081,58.000,48.197,0.231,
beep-selftest-legacy-20260923-080705-707.csv,3,2,71241692.732,58.107,58.025,48.200,0.231,
beep-selftest-legacy-20260923-080705-707.csv,3,3,71242192.732,58.109,58.027,48.205,0.231,
beep-selftest-legacy-20260923-080705-707.csv,3,4,71242692.732,58.930,58.849,48.209,0.231,
beep-selftest-legacy-20260923-080705-707.csv,3,5,71243192.732,58.116,58.034,48.212,0.231,
beep-selftest-legacy-20260923-080705-707.csv,4,1,71244585.705,65.132,65.051,55.252,0.230,
beep-selftest-legacy-20260923-080705-707.csv,4,2,71245085.705,65.977,65.896,55.256,0.231,
beep-selftest-legacy-20260923-080705-707.csv,4,3,71245585.705,65.150,65.068,55.259,0.230,
beep-selftest-legacy-20260923-080705-707.csv,4,4,71246085.705,65.148,65.067,55.264,0.230,
beep-selftest-legacy-20260923-080705-707.csv,4,5,71246585.705,65.182,65.101,55.268,0.231,
beep-selftest-legacy-20260923-080705-707.csv,5,1,71247944.641,56.230,56.149,46.342,0.230,
beep-selftest-legacy-20260923-080705-707.csv,5,2,71248444.641,56.254,56.173,46.347,0.231,
beep-selftest-legacy-20260923-080705-707.csv,5,3,71248944.641,56.244,56.162,46.351,0.231,
beep-selftest-legacy-20260923-080705-707.csv,5,4,71249444.641,56.239,56.158,46.356,0.231,
beep-selftest-legacy-20260923-080705-707.csv,5,5,71249944.641,56.264,56.182,46.360,0.231,
beep-selftest-legacy-20260923-080705-707.csv,6,1,71251321.594,59.304,59.223,49.419,0.231,
beep-selftest-legacy-20260923-080705-707.csv,6,2,71251821.594,59.308,59.226,49.422,0.231,
beep-selftest-legacy-20260923-080705-707.csv,6,3,71252321.594,59.308,59.227,49.426,0.230,
beep-selftest-legacy-20260923-080705-707.csv,6,4,71252821.594,59.314,59.233,49.430,0.231,
beep-selftest-legacy-20260923-080705-707.csv,6,5,71253321.594,59.321,59.240,49.433,0.231,
beep-selftest-legacy-20260923-080705-707.csv,7,1,71254727.365,63.560,63.479,53.673,0.231,
beep-selftest-legacy-20260923-080705-707.csv,7,2,71255227.365,63.558,63.477,53.676,0.231,
beep-selftest-legacy-20260923-080705-707.csv,7,3,71255727.365,63.569,63.487,53.680,0.230,
beep-selftest-legacy-20260923-080705-707.csv,7,4,71256227.365,63.572,63.491,53.684,0.230,
beep-selftest-legacy-20260923-080705-707.csv,7,5,71256727.365,64.412,64.330,53.689,0.230,
beep-selftest-legacy-20260923-080705-707.csv,8,1,71258090.238,60.706,60.625,50.827,0.230,
beep-selftest-legacy-20260923-080705-707.csv,8,2,71258590.238,60.718,60.637,50.832,0.230,
beep-selftest-legacy-20260923-080705-707.csv,8,3,71259090.238,60.720,60.639,50.835,0.230,
beep-selftest-legacy-20260923-080705-707.csv,8,4,71259590.238,60.727,60.645,50.839,0.230,
beep-selftest-legacy-20260923-080705-707.csv,8,5,71260090.238,61.567,61.485,50.844,0.230,
beep-selftest-legacy-20260923-080705-707.csv,9,1,71261449.619,61.362,61.280,51.472,0.231,
beep-selftest-legacy-20260923-080705-707.csv,9,2,71261949.619,61.368,61.287,51.474,0.231,
beep-selftest-legacy-20260923-080705-707.csv,9,3,71262449.619,61.392,61.311,51.480,0.231,
beep-selftest-legacy-20260923-080705-707.csv,9,4,71262949.619,61.373,61.292,51.485,0.230,
beep-selftest-legacy-20260923-080705-707.csv,9,5,71263449.619,62.213,62.132,51.487,0.230,
beep-selftest-legacy-20260923-080705-707.csv,10,1,71264803.693,57.313,57.232,47.426,0.230,
beep-selftest-legacy-20260923-080705-707.csv,10,2,71265303.693,57.321,57.239,47.430,0.230,
beep-selftest-legacy-20260923-080705-707.csv,10,3,71265803.693,57.325,57.244,47.433,0.230,
beep-selftest-legacy-20260923-080705-707.csv,10,4,71266303.693,57.337,57.256,47.438,0.229,
beep-selftest-legacy-20260923-080705-707.csv,10,5,71266803.693,57.331,57.249,47.444,0.229,
beep-selftest-legacy-20260923-080705-707.csv,11,1,71268149.551,61.478,61.396,51.599,0.230,
beep-selftest-legacy-20260923-080705-707.csv,11,2,71268649.551,61.513,61.431,51.604,0.230,
beep-selftest-legacy-20260923-080705-707.csv,11,3,71269149.551,61.510,61.429,51.610,0.230,
beep-selftest-legacy-20260923-080705-707.csv,11,4,71269649.551,61.499,61.418,51.614,0.231,
beep-selftest-legacy-20260923-080705-707.csv,11,5,71270149.551,61.500,61.419,51.618,0.231,
beep-selftest-legacy-20260923-080705-707.csv,12,1,71271511.345,59.714,59.633,49.837,0.231,
beep-selftest-legacy-20260923-080705-707.csv,12,2,71272011.345,59.723,59.642,49.841,0.231,
beep-selftest-legacy-20260923-080705-707.csv,12,3,71272511.345,59.729,59.648,49.845,0.231,
beep-selftest-legacy-20260923-080705-707.csv,12,4,71273011.345,59.734,59.652,49.847,0.231,
beep-selftest-legacy-20260923-080705-707.csv,12,5,71273511.345,59.736,59.655,49.851,0.230,
beep-selftest-legacy-20260923-080705-707.csv,13,1,71274874.473,56.618,56.536,46.730,0.231,
beep-selftest-legacy-20260923-080705-707.csv,13,2,71275374.473,56.639,56.558,46.734,0.231,
beep-selftest-legacy-20260923-080705-707.csv,13,3,71275874.473,56.643,56.561,46.740,0.230,
beep-selftest-legacy-20260923-080705-707.csv,13,4,71276374.473,56.656,56.574,46.745,0.230,
beep-selftest-legacy-20260923-080705-707.csv,13,5,71276874.473,56.635,56.553,46.750,0.230,
beep-selftest-legacy-20260923-080705-707.csv,14,1,71278236.534,64.583,64.502,54.699,0.229,
beep-selftest-legacy-20260923-080705-707.csv,14,2,71278736.534,64.593,64.512,54.704,0.230,
beep-selftest-legacy-20260923-080705-707.csv,14,3,71279236.534,64.606,64.525,54.708,0.229,
beep-selftest-legacy-20260923-080705-707.csv,14,4,71279736.534,64.617,64.535,54.712,0.230,
beep-selftest-legacy-20260923-080705-707.csv,14,5,71280236.534,64.618,64.536,54.718,0.230,
beep-selftest-legacy-20260923-080705-707.csv,15,1,71281607.146,64.000,63.918,54.118,0.230,
beep-selftest-legacy-20260923-080705-707.csv,15,2,71282107.146,64.010,63.928,54.121,0.231,
beep-selftest-legacy-20260923-080705-707.csv,15,3,71282607.146,64.031,63.949,54.123,0.232,
beep-selftest-legacy-20260923-080705-707.csv,15,4,71283107.146,64.008,63.927,54.126,0.232,
beep-selftest-legacy-20260923-080705-707.csv,15,5,71283607.146,64.853,64.772,54.130,0.233,
beep-selftest-legacy-20260923-080705-707.csv,16,1,71285010.720,60.458,60.376,50.568,0.233,
beep-selftest-legacy-20260923-080705-707.csv,16,2,71285510.720,60.456,60.375,50.573,0.233,
beep-selftest-legacy-20260923-080705-707.csv,16,3,71286010.720,61.298,61.217,50.576,0.233,
beep-selftest-legacy-20260923-080705-707.csv,16,4,71286510.720,60.465,60.383,50.579,0.233,
beep-selftest-legacy-20260923-080705-707.csv,16,5,71287010.720,60.470,60.388,50.583,0.233,
beep-selftest-legacy-20260923-080705-707.csv,17,1,71288389.599,61.631,61.550,51.716,0.232,
beep-selftest-legacy-20260923-080705-707.csv,17,2,71288889.599,62.444,62.362,51.721,0.232,
beep-selftest-legacy-20260923-080705-707.csv,17,3,71289389.599,61.643,61.561,51.725,0.232,
beep-selftest-legacy-20260923-080705-707.csv,17,4,71289889.599,61.615,61.533,51.729,0.231,
beep-selftest-legacy-20260923-080705-707.csv,17,5,71290389.599,61.619,61.538,51.733,0.231,
beep-selftest-legacy-20260923-080705-707.csv,18,1,71291759.292,61.938,61.857,52.051,0.230,
beep-selftest-legacy-20260923-080705-707.csv,18,2,71292259.292,61.945,61.863,52.055,0.230,
beep-selftest-legacy-20260923-080705-707.csv,18,3,71292759.292,61.947,61.865,52.060,0.229,
beep-selftest-legacy-20260923-080705-707.csv,18,4,71293259.292,61.948,61.866,52.064,0.229,
beep-selftest-legacy-20260923-080705-707.csv,18,5,71293759.292,61.956,61.874,52.068,0.229,
beep-selftest-legacy-20260923-080705-707.csv,19,1,71295137.150,64.107,64.026,54.221,0.229,
beep-selftest-legacy-20260923-080705-707.csv,19,2,71295637.150,64.111,64.030,54.225,0.229,
beep-selftest-legacy-20260923-080705-707.csv,19,3,71296137.150,64.113,64.031,54.229,0.230,
beep-selftest-legacy-20260923-080705-707.csv,19,4,71296637.150,64.116,64.035,54.234,0.230,
beep-selftest-legacy-20260923-080705-707.csv,19,5,71297137.150,64.143,64.062,54.239,0.231,
beep-selftest-legacy-20260923-080705-707.csv,20,1,71298538.135,63.150,63.068,53.264,0.232,
beep-selftest-legacy-20260923-080705-707.csv,20,2,71299038.135,63.158,63.076,53.269,0.233,
beep-selftest-legacy-20260923-080705-707.csv,20,3,71299538.135,63.161,63.079,53.272,0.233,
beep-selftest-legacy-20260923-080705-707.csv,20,4,71300038.135,63.161,63.080,53.277,0.233,
beep-selftest-legacy-20260923-080705-707.csv,20,5,71300538.135,63.166,63.085,53.281,0.234,
beep-selftest-legacy-20260923-080705-707.csv,21,1,71301909.164,62.173,62.091,52.262,0.234,
beep-selftest-legacy-20260923-080705-707.csv,21,2,71302409.164,62.170,62.089,52.266,0.234,
beep-selftest-legacy-20260923-080705-707.csv,21,3,71302909.164,62.176,62.095,52.270,0.233,
beep-selftest-legacy-20260923-080705-707.csv,21,4,71303409.164,62.998,62.916,52.274,0.232,
beep-selftest-legacy-20260923-080705-707.csv,21,5,71303909.164,62.168,62.087,52.277,0.232,
beep-selftest-legacy-20260923-080705-707.csv,22,1,71305286.808,64.533,64.451,54.645,0.231,
beep-selftest-legacy-20260923-080705-707.csv,22,2,71305786.808,64.535,64.454,54.650,0.231,
beep-selftest-legacy-20260923-080705-707.csv,22,3,71306286.808,65.378,65.296,54.653,0.231,
beep-selftest-legacy-20260923-080705-707.csv,22,4,71306786.808,64.542,64.460,54.657,0.231,
beep-selftest-legacy-20260923-080705-707.csv,22,5,71307286.808,64.545,64.463,54.662,0.231,
beep-selftest-legacy-20260923-080705-707.csv,23,1,71308665.129,56.241,56.159,46.352,0.231,
beep-selftest-legacy-20260923-080705-707.csv,23,2,71309165.129,56.262,56.180,46.358,0.230,
beep-selftest-legacy-20260923-080705-707.csv,23,3,71309665.129,56.265,56.184,46.363,0.230,
beep-selftest-legacy-20260923-080705-707.csv,23,4,71310165.129,56.273,56.192,46.368,0.230,
beep-selftest-legacy-20260923-080705-707.csv,23,5,71310665.129,56.262,56.180,46.372,0.230,
beep-selftest-legacy-20260923-080705-707.csv,24,1,71312042.130,59.265,59.183,49.384,0.231,
beep-selftest-legacy-20260923-080705-707.csv,24,2,71312542.130,59.268,59.186,49.388,0.231,
beep-selftest-legacy-20260923-080705-707.csv,24,3,71313042.130,59.294,59.213,49.392,0.232,
beep-selftest-legacy-20260923-080705-707.csv,24,4,71313542.130,59.285,59.204,49.394,0.232,
beep-selftest-legacy-20260923-080705-707.csv,24,5,71314042.130,59.286,59.204,49.399,0.232,
