press,beep index,target ms,onset ms,lateness ms
1,1,71607888.568800,71607914.085705,25.516905
1,2,71608388.568800,71608414.905429,26.336629
1,3,71608888.568800,71608914.071029,25.502229
1,4,71609388.568800,71609414.072329,25.503529
1,5,71609888.568800,71609914.085529,25.516729
2,1,71611256.457400,71611281.935534,25.478134
2,2,71611756.457400,71611781.964310,25.506910
2,3,71612256.457400,71612281.977510,25.520110
2,4,71612756.457400,71612781.133107,24.675707
2,5,71613256.457400,71613281.950034,25.492634
3,1,71614619.790800,71614645.294967,25.504167
3,2,71615119.790800,71615145.311967,25.521167
3,3,71615619.790800,71615645.306367,25.515567
3,4,71616119.790800,71616144.479565,24.688765
3,5,71616619.790800,71616645.291292,25.500492
4,1,71618028.489400,71618053.987799,25.498399
4,2,71618528.489400,71618553.993299,25.503899
4,3,71619028.489400,71619053.989899,25.500499
4,4,71619528.489400,71619553.996699,25.507299
4,5,71620028.489400,71620054.820523,26.331123
5,1,71621379.764600,71621405.259564,25.494964
5,2,71621879.764600,71621904.431162,24.666562
5,3,71622379.764600,71622405.271564,25.506964
5,4,71622879.764600,71622905.282264,25.517664
5,5,71623379.764600,71623405.280264,25.515664
6,1,71624787.589100,71624813.096818,25.507718
6,2,71625287.589100,71625313.096718,25.507618
6,3,71625787.589100,71625813.916542,26.327442
6,4,71626287.589100,71626313.110842,25.521742
6,5,71626787.589100,71626813.107118,25.518018
7,1,71628144.247800,71628169.775233,25.527433
7,2,71628644.247800,71628669.770309,25.522509
7,3,71629144.247800,71629170.588533,26.340733
7,4,71629644.247800,71629669.774809,25.527009
7,5,71630144.247800,71630169.753133,25.505333
8,1,71631527.680900,71631553.193469,25.512569
8,2,71632027.680900,71632054.013594,26.332694
8,3,71632527.680900,71632553.176394,25.495494
8,4,71633027.680900,71633053.197594,25.516694
8,5,71633527.680900,71633553.166018,25.485118
9,1,71634934.577800,71634960.093718,25.515918
9,2,71635434.577800,71635459.262215,24.684415
9,3,71635934.577800,71635960.126418,25.548618
9,4,71636434.577800,71636460.082642,25.504842
9,5,71636934.577800,71636960.063266,25.485466
10,1,71638317.803300,71638342.478294,24.674994
10,2,71638817.803300,71638843.300021,25.496721
10,3,71639317.803300,71639343.301921,25.498621
10,4,71639817.803300,71639843.329897,25.526597
10,5,71640317.803300,71640343.317721,25.514421
11,1,71641715.266100,71641740.759463,25.493363
11,2,71642215.266100,71642240.763763,25.497663
11,3,71642715.266100,71642740.792738,25.526638
11,4,71643215.266100,71643240.829638,25.563538
11,5,71643715.266100,71643739.936860,24.670760
12,1,71645069.255600,71645094.755117,25.499517
12,2,71645569.255600,71645594.766717,25.511117
12,3,71646069.255600,71646095.605217,26.349617
12,4,71646569.255600,71646594.749241,25.493641
12,5,71647069.255600,71647094.777117,25.521517
13,1,71648429.966900,71648455.470889,25.503989
13,2,71648929.966900,71648955.469889,25.502989
13,3,71649429.966900,71649456.313689,26.346789
13,4,71649929.966900,71649955.479289,25.512389
13,5,71650429.966900,71650455.188304,25.221404
14,1,71651808.513900,71651834.019166,25.505266
14,2,71652308.513900,71652334.840890,26.326990
14,3,71652808.513900,71652834.008590,25.494690
14,4,71653308.513900,71653334.012590,25.498690
14,5,71653808.513900,71653834.038790,25.524890
15,1,71655197.603000,71655223.119185,25.516185
15,2,71655697.603000,71655723.113485,25.510485
15,3,71656197.603000,71656222.263683,24.660683
15,4,71656697.603000,71656723.110985,25.507985
15,5,71657197.603000,71657223.114985,25.511985
16,1,71658568.655200,71658594.188869,25.533669
16,2,71659068.655200,71659094.153217,25.498017
16,3,71659568.655200,71659594.138117,25.482917
16,4,71660068.655200,71660094.176793,25.521593
16,5,71660568.655200,71660594.138017,25.482817
17,1,71661975.103100,71662000.612102,25.509002
17,2,71662475.103100,71662500.617302,25.514202
17,3,71662975.103100,71663000.625102,25.522002
17,4,71663475.103100,71663500.600927,25.497827
17,5,71663975.103100,71664000.610427,25.507327
18,1,71665334.199000,71665359.690421,25.491421
18,2,71665834.199000,71665859.694621,25.495621
18,3,71666334.199000,71666359.718297,25.519297
18,4,71666834.199000,71666860.540621,26.341621
18,5,71667334.199000,71667359.730021,25.531021
19,1,71668725.216100,71668750.737729,25.521629
19,2,71669225.216100,71669251.558854,26.342754
19,3,71669725.216100,71669750.727754,25.511654
19,4,71670225.216100,71670250.723654,25.507554
19,5,71670725.216100,71670750.716078,25.499978
20,1,71672087.780100,71672113.288436,25.508336
20,2,71672587.780100,71672614.126736,26.346636
20,3,71673087.780100,71673113.288836,25.508736
20,4,71673587.780100,71673613.271861,25.491761
20,5,71674087.780100,71674113.297536,25.517436
21,1,71675448.937100,71675474.466423,25.529323
21,2,71675948.937100,71675975.288623,26.351523
21,3,71676448.937100,71676474.430247,25.493147
21,4,71676948.937100,71676974.457423,25.520323
21,5,71677448.937100,71677474.441147,25.504047
22,1,71678820.786500,71678846.285682,25.499182
22,2,71679320.786500,71679346.273906,25.487406
22,3,71679820.786500,71679846.292882,25.506382
22,4,71680320.786500,71680346.277806,25.491306
22,5,71680820.786500,71680846.283706,25.497206
23,1,71682219.005400,71682244.545699,25.540299
23,2,71682719.005400,71682743.668821,24.663421
23,3,71683219.005400,71683244.510823,25.505423
23,4,71683719.005400,71683744.515923,25.510523
23,5,71684219.005400,71684244.520323,25.514923
24,1,71685617.100100,71685642.606985,25.506885
24,2,71686117.100100,71686142.611685,25.511585
24,3,71686617.100100,71686642.590310,25.490210
24,4,71687117.100100,71687142.619985,25.519885
24,5,71687617.100100,71687642.596610,25.496510
25,1,71688986.151100,71689011.655029,25.503929
25,2,71689486.151100,71689511.670229,25.519129
25,3,71689986.151100,71690012.503729,26.352629
25,4,71690486.151100,71690511.674629,25.523529
