press,beep index,target ms,onset ms,lateness ms
1,1,71523362.315100,71523424.141804,61.826704
1,2,71523862.315100,71523924.142804,61.827704
1,3,71524362.315100,71524424.145904,61.830804
1,4,71524862.315100,71524924.150404,61.835304
1,5,71525362.315100,71525424.175904,61.860804
2,1,71526739.372800,71526804.168104,64.795304
2,2,71527239.372800,71527304.169204,64.796404
2,3,71527739.372800,71527804.176404,64.803604
2,4,71528239.372800,71528304.178504,64.805704
2,5,71528739.372800,71528804.189504,64.816704
3,1,71530133.828000,71530194.201904,60.373904
3,2,71530633.828000,71530694.211104,60.383104
3,3,71531133.828000,71531194.214204,60.386204
3,4,71531633.828000,71531694.210004,60.382004
3,5,71532133.828000,71532194.232904,60.404904
4,1,71533499.773400,71533564.218704,64.445304
4,2,71533999.773400,71534064.227404,64.454004
4,3,71534499.773400,71534564.233104,64.459704
4,4,71534999.773400,71535064.233904,64.460504
4,5,71535499.773400,71535564.233304,64.459904
5,1,71536893.858300,71536954.272404,60.414104
5,2,71537393.858300,71537454.252904,60.394604
5,3,71537893.858300,71537954.257804,60.399504
5,4,71538393.858300,71538455.097204,61.238904
5,5,71538893.858300,71538954.284404,60.426104
6,1,71540260.442800,71540324.278204,63.835404
6,2,71540760.442800,71540824.282904,63.840104
6,3,71541260.442800,71541324.309404,63.866604
6,4,71541760.442800,71541824.291404,63.848604
6,5,71542260.442800,71542324.289804,63.847004
7,1,71543637.724800,71543694.309404,56.584604
7,2,71544137.724800,71544194.303004,56.578204
7,3,71544637.724800,71544695.148304,57.423504
7,4,71545137.724800,71545194.319404,56.594604
7,5,71545637.724800,71545694.321304,56.596504
8,1,71547001.491600,71547064.359204,62.867604
8,2,71547501.491600,71547564.328804,62.837204
8,3,71548001.491600,71548064.348504,62.856904
8,4,71548501.491600,71548564.340704,62.849104
8,5,71549001.491600,71549064.350004,62.858404
9,1,71550379.358600,71550444.357304,64.998704
9,2,71550879.358600,71550944.360404,65.001804
9,3,71551379.358600,71551444.365704,65.007104
9,4,71551879.358600,71551944.392604,65.034004
9,5,71552379.358600,71552444.404504,65.045904
10,1,71553766.876000,71553824.384504,57.508504
10,2,71554266.876000,71554324.389904,57.513904
10,3,71554766.876000,71554824.397004,57.521004
10,4,71555266.876000,71555324.402004,57.526004
10,5,71555766.876000,71555824.404704,57.528704
11,1,71557148.028100,71557204.425404,56.397304
11,2,71557648.028100,71557704.417204,56.389104
11,3,71558148.028100,71558204.422704,56.394604
11,4,71558648.028100,71558704.427804,56.399704
11,5,71559148.028100,71559204.430104,56.402004
12,1,71560536.037400,71560594.449604,58.412204
12,2,71561036.037400,71561094.448704,58.411304
12,3,71561536.037400,71561594.447704,58.410304
12,4,71562036.037400,71562095.291604,59.254204
12,5,71562536.037400,71562594.454604,58.417204
13,1,71563894.933400,71563954.479804,59.546404
13,2,71564394.933400,71564454.470904,59.537504
13,3,71564894.933400,71564954.478004,59.544604
13,4,71565394.933400,71565455.319504,60.386104
13,5,71565894.933400,71565954.504104,59.570704
