file,press,beep,target_ms,selftest_late_ms,stamp_late_ms,fit_late_ms,fit_rms_ms,flags
beep-selftest-legacy-20260923-081154-664.csv,1,1,71523362.315,61.827,61.745,51.927,0.229,
beep-selftest-legacy-20260923-081154-664.csv,1,2,71523862.315,61.828,61.746,51.934,0.229,
beep-selftest-legacy-20260923-081154-664.csv,1,3,71524362.315,61.831,61.749,51.941,0.230,
beep-selftest-legacy-20260923-081154-664.csv,1,4,71524862.315,61.835,61.754,51.949,0.230,
beep-selftest-legacy-20260923-081154-664.csv,1,5,71525362.315,61.861,61.779,51.954,0.230,
beep-selftest-legacy-20260923-081154-664.csv,2,1,71526739.373,64.795,64.714,54.908,0.231,
beep-selftest-legacy-20260923-081154-664.csv,2,2,71527239.373,64.796,64.715,54.912,0.231,
beep-selftest-legacy-20260923-081154-664.csv,2,3,71527739.373,64.804,64.722,54.916,0.231,
beep-selftest-legacy-20260923-081154-664.csv,2,4,71528239.373,64.806,64.724,54.921,0.230,
beep-selftest-legacy-20260923-081154-664.csv,2,5,71528739.373,64.817,64.735,54.925,0.230,
beep-selftest-legacy-20260923-081154-664.csv,3,1,71530133.828,60.374,60.292,50.481,0.230,
beep-selftest-legacy-20260923-081154-664.csv,3,2,71530633.828,60.383,60.302,50.485,0.229,
beep-selftest-legacy-20260923-081154-664.csv,3,3,71531133.828,60.386,60.305,50.489,0.229,
beep-selftest-legacy-20260923-081154-664.csv,3,4,71531633.828,60.382,60.301,50.493,0.229,
beep-selftest-legacy-20260923-081154-664.csv,3,5,71532133.828,60.405,60.323,50.496,0.229,
beep-selftest-legacy-20260923-081154-664.csv,4,1,71533499.773,64.445,64.364,54.565,0.229,
beep-selftest-legacy-20260923-081154-664.csv,4,2,71533999.773,64.454,64.373,54.569,0.228,
beep-selftest-legacy-20260923-081154-664.csv,4,3,71534499.773,64.460,64.378,54.573,0.229,
beep-selftest-legacy-20260923-081154-664.csv,4,4,71534999.773,64.461,64.379,54.577,0.229,
beep-selftest-legacy-20260923-081154-664.csv,4,5,71535499.773,64.460,64.378,54.581,0.229,
beep-selftest-legacy-20260923-081154-664.csv,5,1,71536893.858,60.414,60.333,50.506,0.230,
beep-selftest-legacy-20260923-081154-664.csv,5,2,71537393.858,60.395,60.313,50.510,0.230,
beep-selftest-legacy-20260923-081154-664.csv,5,3,71537893.858,60.400,60.318,50.514,0.230,
beep-selftest-legacy-20260923-081154-664.csv,5,4,71538393.858,61.239,61.157,50.518,0.230,
beep-selftest-legacy-20260923-081154-664.csv,5,5,71538893.858,60.426,60.345,50.521,0.230,
beep-selftest-legacy-20260923-081154-664.csv,6,1,71540260.443,63.835,63.754,53.948,0.230,
beep-selftest-legacy-20260923-081154-664.csv,6,2,71540760.443,63.840,63.759,53.952,0.231,
beep-selftest-legacy-20260923-081154-664.csv,6,3,71541260.443,63.867,63.785,53.957,0.230,
beep-selftest-legacy-20260923-081154-664.csv,6,4,71541760.443,63.849,63.767,53.962,0.230,
beep-selftest-legacy-20260923-081154-664.csv,6,5,71542260.443,63.847,63.766,53.965,0.231,
beep-selftest-legacy-20260923-081154-664.csv,7,1,71543637.725,56.585,56.503,46.695,0.230,
beep-selftest-legacy-20260923-081154-664.csv,7,2,71544137.725,56.578,56.497,46.698,0.231,
beep-selftest-legacy-20260923-081154-664.csv,7,3,71544637.725,57.424,57.342,46.702,0.231,
beep-selftest-legacy-20260923-081154-664.csv,7,4,71545137.725,56.595,56.513,46.707,0.231,
beep-selftest-legacy-20260923-081154-664.csv,7,5,71545637.725,56.597,56.515,46.711,0.231,
beep-selftest-legacy-20260923-081154-664.csv,8,1,71547001.492,62.868,62.786,52.959,0.230,
beep-selftest-legacy-20260923-081154-664.csv,8,2,71547501.492,62.837,62.756,52.963,0.231,
beep-selftest-legacy-20260923-081154-664.csv,8,3,71548001.492,62.857,62.775,52.968,0.230,
beep-selftest-legacy-20260923-081154-664.csv,8,4,71548501.492,62.849,62.768,52.972,0.230,
beep-selftest-legacy-20260923-081154-664.csv,8,5,71549001.492,62.858,62.777,52.976,0.230,
beep-selftest-legacy-20260923-081154-664.csv,9,1,71550379.359,64.999,64.917,55.120,0.229,
beep-selftest-legacy-20260923-081154-664.csv,9,2,71550879.359,65.002,64.920,55.124,0.229,
beep-selftest-legacy-20260923-081154-664.csv,9,3,71551379.359,65.007,64.926,55.127,0.230,
beep-selftest-legacy-20260923-081154-664.csv,9,4,71551879.359,65.034,64.953,55.132,0.230,
beep-selftest-legacy-20260923-081154-664.csv,9,5,71552379.359,65.046,64.964,55.135,0.229,
beep-selftest-legacy-20260923-081154-664.csv,10,1,71553766.876,57.509,57.427,47.628,0.229,
beep-selftest-legacy-20260923-081154-664.csv,10,2,71554266.876,57.514,57.432,47.632,0.230,
beep-selftest-legacy-20260923-081154-664.csv,10,3,71554766.876,57.521,57.440,47.636,0.230,
beep-selftest-legacy-20260923-081154-664.csv,10,4,71555266.876,57.526,57.445,47.640,0.230,
beep-selftest-legacy-20260923-081154-664.csv,10,5,71555766.876,57.529,57.447,47.644,0.230,
beep-selftest-legacy-20260923-081154-664.csv,11,1,71557148.028,56.397,56.316,46.502,0.232,
beep-selftest-legacy-20260923-081154-664.csv,11,2,71557648.028,56.389,56.308,46.505,0.232,
beep-selftest-legacy-20260923-081154-664.csv,11,3,71558148.028,56.395,56.313,46.508,0.232,
beep-selftest-legacy-20260923-081154-664.csv,11,4,71558648.028,56.400,56.318,46.512,0.232,
beep-selftest-legacy-20260923-081154-664.csv,11,5,71559148.028,56.402,56.321,46.515,0.232,
beep-selftest-legacy-20260923-081154-664.csv,12,1,71560536.037,58.412,58.331,48.515,0.233,
beep-selftest-legacy-20260923-081154-664.csv,12,2,71561036.037,58.411,58.330,48.520,0.233,
beep-selftest-legacy-20260923-081154-664.csv,12,3,71561536.037,58.410,58.329,48.524,0.232,
beep-selftest-legacy-20260923-081154-664.csv,12,4,71562036.037,59.254,59.173,48.527,0.233,
